frame;text
1;oO,344,278
2;oO,344,278,oo
3;oO,344,278
4;oo,278,oO,344
5;
6;oO,344
7;oo
8;oO,344,278,_oo
9;oO,344,278
10;oO,344,278,_oo
11;oO,344,3,298,10,00
12;oO,344,278,oo,L
13;oO,344,3,298,12,00
14;oO,344,3,298,13,00
15;oO,344,278,14,00,L
16;oO,344,3,298,1S_o00
17;oO,344,278,1b,,00,L
18;oO,344,278,17,00,L
19;oO,344,3,298,18,00
20;oO,344,278,19,00,L
21;oO,344,298,20_00
22;oO,344,278,el,_oo,L
23;oO,34S,2a9
24;oO,34S,2a9,oo
25;oO,34S,2a9
26;oO,34S,2a9
27;oO,34S,2a9,_oo
28;oO,34S,2a9
29;oO,34S,2a9,_oo
30;oO,34s,2eag,7,00
31;oo,2a9,oO,34S
32;oo,2a9,oO,34S
33;oO,34s,299,10,00
34;oO,34S,2a9,oo,L
35;oO,34s,299,12,00,L
36;
37;
38;oO,34s,299,1iS.00,OL
39;oO,34s,299,Ib,OO,OL
40;oO,34S,2a9,17,00,L
41;oO,34s,299,18,00
42;oO,34S,2a9,19,00,L
43;o,o0o,2a9,oO,34S
44;
45;oO,34s,299,2,00
46;oO,34s,299,3.00
47;oO,34s,299,4_o0
48;oO,34s,299,s_oo
49;oO,34S,2a9,_oo
50;oO,34s,2eag,7,00
51;oO,34s,299,8,00
52;oO,34s,2eag,9,00
53;oO,34s,299,10,00
54;oO,34S,2a9,oo,L
55;12,,2a9,oO,34S
56;oO,34s,299,13,00
57;oO,34S,2a9,14,00,L
58;
59;oO,34S,2a9,1b,,00,L
60;o,34S,2a9,17,00,L
61;oO,34s,299,18,00
62;oO,34s,2eag,19,00
63;Oo,34b,300,o,o0o
64;Oo,34b,300,1.00
65;
66;
67;300
68;Oo,34b,300,s_,oo
69;
70;Oo,34b,300,7,00
71;
72;Oo,34b,300,94,00
73;Oo,34b,300,10,00
74;Oo,34b,300,11,00
75;_oo,12,300,Oo,34b
76;Oo,34b,300,13,00
77;
78;Oo,34b,300,15,00
79;Oo,34b,300,1b,,00
80;Oo,34b,300,17,00,&,.,+
81;Oo,34b,300,16,00
82;Oo,34b,300,19,00
83;Oo,34b,300,20_00
84;Oo,34b,300,el,_oo
85;Oo,34b,300,e2_.oo
86;Oo,34b,300,23,00
87;Oo,34b,300,e+,oo
88;Oo,34b,300,25,00
89;Oo,34b,300,2b_00
90;Oo,34b,300,27,00
91;Oo,34b,300,28,00
