frame;text
1;Oo,353,30b,oo
2;Oo,353,30b
3;Oo,353,30b
4;Oo,353,30b,_oo
5;Oo,353,30b
6;Oo,353,30b,_oo
7;Oo,353,30b,_oo
8;Oo,353,30b
9;Oo,353,30b,_oo
10;Oo,353,30b,10,00
11;Oo,353,30b,oo
12;Oo,353,30b,12,00
13;Oo,353,30b,13,00
14;Oo,353,30b,14,00
15;Oo,353,30b,15,00
16;Oo,353,30b,1b,00
17;Oo,353,30b,17,00
18;Oo,353,30b,16,00
19;Oo,353,30b,19,00
20;Oo,353,30b,20,00
21;Oo,353,30b,21,00
22;Oo,353,30b,e2_.oo
23;Oo,353,30b,23,00
24;Oo,353,30b,e+,oo
25;Oo,353,30b,25,00
26;Oo,353,30b,2b_00
27;Oo,353,30b,27,00
28;Oo,353,30b,28,00
29;Oo,353,30b,29,00
30;Oo,353,30b,30,00
31;Oo,353,30b,31,_oo
32;Oo,353,30b,32,00
33;Oo,353,30b,33,00
34;Oo,353,30b,34,O00
35;Oo,353,30b,35,00
36;Oo,353,30b,3b,_00
37;Oo,353,30b,37,00
38;Oo,353,30b,38,00
39;Oo,353,30b,39,00
40;Oo,353,30b,40,00
41;Oo,353,30b,4!,oo
42;Oo,353,30b,42,00
43;Oo,353,30b,43,00
44;Oo,353,30b,44,O00
45;Oo,353,30b,4+S_00
46;Oo,353,30b,+b_OO
47;Oo,353,30b,47,00
48;Oo,353,30b,46,00
49;Oo,353,30b,49,00
50;Oo,353,30b,so_.o00
51;Oo,353,30b,si,_oo
52;Oo,353,30b,se_oo
53;Oo,353,30b,$3,000
54;Oo,353,30b,s+,oo
55;Oo,353,30b,ss_oo
56;Oo,353,30b,Sb_oOo
57;Oo,353,30b,s7_o00
58;Oo,353,30b,s6_.o00
