frame;text
1;Oo,360,oo
2;Oo,360
3;Oo,360
4;Oo,360,_oo
5;Oo,360
6;Oo,360,_oo
7;Oo,360,_oo
8;Oo,360
9;Oo,360,_oo
10;oO,3b0,B12,10,00
11;Oo,360,oo
12;oO,3b0,B12,12,00
13;oO,3b0,B12,13,00
14;oO,3b0,B12,14,00
15;oO,3b0,B12,1S_o00
16;oO,3b0,B12,1b,,00
17;oO,3b0,B12,17,00
18;oO,3b0,B12,18,00
19;oO,3b0,B12,19,00
20;Oo,360,312,20,00
21;Oo,360,el,_oo
22;Oo,360,312,e2_.oo
23;Oo,360,312,23,00
24;oO,3b0,B12,24,00
25;Oo,360,312,25,00
26;Oo,360,312,2b_00
27;oO,3b0,B12,27,00
28;Oo,360,312,28,00
29;oO,3b0,B12,29_00
30;Oo,360,312,30,00
31;Oo,360,31,_oo
32;Oo,360,312,32,00
33;Oo,360,312,33,00
34;oO,3b0,B12,34,oo
35;Oo,360,312,35,00
36;Oo,360,312,3b,_00
37;oO,3b0,B12,37,00
38;Oo,360,312,38,00
39;oO,3b0,B12,39,00
40;oO,3b0,B12,40_00
41;Oo,360,4!,oo
42;oO,3b0,B12,42_00
43;oO,3b0,B12,43,00
44;oO,3b0,B12,4400
45;oO,3b0,B12,4S_00
46;oO,3b0,B12,4b_00
47;oO,3b0,B12,47,00
48;oO,3b0,B12,48_00
