frame;text
1;O,CATCHDASH,CATCHDASH
2;O,CATCHDASH,CATCHDASH,oo
3;O,CATCHDASH,CATCHDASH
4;O,CATCHDASH,CATCHDASH
5;O,CATCHDASH,CATCHDASH,_oo
6;O,CATCHDASH,CATCHDASH
7;O,CATCHDASH,CATCHDASH,_oo
8;O,CATCHDASH,CATCHDASH,_oo
9;O,CATCHDASH,CATCHDASH
10;O,CATCHDASH,CATCHDASH,_oo
11;O,CATCHDASH,CATCHDASH,10,00
12;O,CATCHDASH,CATCHDASH,oo
13;O,CATCHDASH,CATCHDASH,12,00
14;O,CATCHDASH,CATCHDASH,13,00
15;O,CATCHDASH,CATCHDASH,14,00
16;O,CATCHDASH,CATCHDASH,15,00
17;O,CATCHDASH,CATCHDASH,1b,00
18;O,CATCHDASH,CATCHDASH,17,00
19;O,CATCHDASH,CATCHDASH,16,00
20;O,CATCHDASH,CATCHDASH,19,00
21;O,CATCHDASH,CATCHDASH,20,00
22;O,CATCHDASH,CATCHDASH,el,_oo
23;O,CATCHDASH,CATCHDASH,e2_.oo
24;O,CATCHDASH,CATCHDASH,23,00
25;O,CATCHDASH,CATCHDASH,e4,oo
26;O,CATCHDASH,CATCHDASH,25,00
27;O,CATCHDASH,CATCHDASH,2b_00
28;O,CATCHDASH,CATCHDASH,e7,00
29;O,CATCHDASH,CATCHDASH,28,00
30;O,CATCHDASH,CATCHDASH,29,00
31;O,CATCHDASH,CATCHDASH,30,00
32;O,CATCHDASH,CATCHDASH,31,_oo
33;O,CATCHDASH,CATCHDASH,32,00
34;O,CATCHDASH,CATCHDASH,33,00
35;O,CATCHDASH,CATCHDASH,34,_o00
36;O,CATCHDASH,CATCHDASH,35,00
37;O,CATCHDASH,CATCHDASH,3b,_00
38;O,CATCHDASH,CATCHDASH,37,00
39;O,CATCHDASH,CATCHDASH,38,00
40;O,CATCHDASH,CATCHDASH,39,00
41;O,CATCHDASH,CATCHDASH,40,00
42;O,CATCHDASH,CATCHDASH,4!,oo
43;O,CATCHDASH,CATCHDASH,42,00
44;O,CATCHDASH,CATCHDASH,43,00
45;O,CATCHDASH,CATCHDASH,44,_00
46;O,CATCHDASH,CATCHDASH,4+S_00
47;O,CATCHDASH,CATCHDASH,+b_OO
48;O,CATCHDASH,CATCHDASH,47,00
49;O,CATCHDASH,CATCHDASH,46,00
