frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;O,ATTACKDASH,ATTACKDASH
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,_oo
7;O,ATTACKDASH,ATTACKDASH,_oo
8;O,ATTACKDASH,ATTACKDASH
9;O,ATTACKDASH,ATTACKDASH,_oo
10;O,ATTACKDASH,ATTACKDASH,10,00
11;O,ATTACKDASH,ATTACKDASH
12;O,ATTACKDASH,ATTACKDASH,12,00
13;O,ATTACKDASH,ATTACKDASH,13,00
14;O,ATTACKDASH,ATTACKDASH,14,00
15;oo"s!,HS,Vda,9DVLIV,HSvdxaovLiv,O
16;O,ATTACKDASH,ATTACKDASH,1b,00
17;O,ATTACKDASH,ATTACKDASH,17,00
18;O,ATTACKDASH,ATTACKDASH,18,00
19;O,ATTACKDASH,ATTACKDASH,19,00
20;O,ATTACKDASH,ATTACKDASH,20_00
21;O,ATTACKDASH,ATTACKDASH,el,_oo
22;O,ATTACKDASH,ATTACKDASH,22_00
23;O,ATTACKDASH,ATTACKDASH,23_00
24;O,ATTACKDASH,ATTACKDASH,2400
25;O,ATTACKDASH,ATTACKDASH,2s_o0
26;O,ATTACKDASH,ATTACKDASH,2b_00
27;O,ATTACKDASH,ATTACKDASH,e7,00
28;O,ATTACKDASH,ATTACKDASH,28_00
29;O,ATTACKDASH,ATTACKDASH,29,00
30;O,ATTACKDASH,ATTACKDASH,30,00
31;O,ATTACKDASH,ATTACKDASH,31,_oo
32;O,ATTACKDASH,ATTACKDASH,32,00
33;O,ATTACKDASH,ATTACKDASH,33,00
34;00",hE,HSvd>>VLLIV,HSvdyovilv,O
35;00,"se,HSVdaDVLIV,HSvdxaovLiv,O
36;00,"Se,HSvd>>VLLIV,HSvdyovilv,O
37;oo,"ze,HSVdaDVLIV,HSvdxaovLiv,O
38;00,"BE,HS,Vda,9DVLIV,HSvdxaovLiv,O
39;00,"bE,HSVdaDVLIV,HSvdxaovLiv,O
40;oo"On,HSVdaDVLIV,HSvdxaovLiv,O
41;O,ATTACKDASH,ATTACKDASH,4!
42;oo"21,HS,Vda,9DVLIV,HSvdxaovLiv,O
43;O,ATTACKDASH,ATTACKDASH,43,00
44;O,ATTACKDASH,ATTACKDASH,4400
45;O,ATTACKDASH,ATTACKDASH,45,00
46;O,ATTACKDASH,ATTACKDASH,4b_00
47;oo"2h,HS,Vda,9DVLIV,HSvdxaovLiv,O
48;oo"Bh,HS,Vda,9DVLIV,HSvdxaovLiv,O
49;O,ATTACKDASH,ATTACKDASH,4900
50;O,ATTACKDASH,ATTACKDASH,so_oo
51;O,ATTACKDASH,ATTACKDASH,si,_oo
52;O,ATTACKDASH,ATTACKDASH,s2_o00
53;O,ATTACKDASH,ATTACKDASH,S3.00,LR
54;O,ATTACKDASH,ATTACKDASH,s4¥_o0o,LR
55;O,ATTACKDASH,ATTACKDASH,sSs.00,LR
56;O,WALKSLOW,WALKSLOW,oo
57;O,WALKSLOW,WALKSLOW
58;O,WALKSLOW,WALKSLOW,2,aa
