frame;text
1;O,3b!,oo
2;O,3b!
3;O,3b!
4;O,3b!,_oo
5;O,3b!
6;O,3b!,_oo
7;O,3bI,313,7,00
8;O,3b!
9;O,3b!,_oo
10;O,3bI,313,10,00
11;O,3b!,oo
12;O,3bI,313,12,00
13;O,3bI,313,13,00
14;O,3bI,313,14,00
15;O,3bI,313,1S_o00
16;O,3bI,313,1b,,00
17;
18;
19;
20;20,,oo
21;1,00
22;22_00
23;O,3bl,313,23,00
24;O,3bI,313,24,00
25;
26;»,,Sty
27;O,3bI,313,27,00,*,**,2?
28;O,3bl,313,28,00
29;O,3bI,313,29_00
30;O,3bl,313,30,00
31;O,3b!,31,_oo
32;O,3bl,313,32,00
33;O,3bl,313,33,00
34;O,3bI,313,34,oo
35;O,3bl,313,35,00
36;O,3bI,313,3b,,00
37;O,3bI,313,37,00
38;O,3bl,313,38,00
39;O,3bI,313,39,00
40;O,3be2,314,30,00
41;O,3be2,31,_oo
42;O,3be2,314,32,00
43;O,3be2,314,32,00
44;O,3be2,314,32,00
45;O,3be2,314,32,00
46;O,3be2,314,32,00
47;O,3b3
48;O,3b3,oo
49;O,3b3,315,2,00
50;O,3b3,315,3,00
51;O,3b3,31S,4_o0
52;O,3b3,315,s_,oo
53;O,3b3,31S,b_oo
54;O,3b3,_oo
55;O,3b3
56;O,3b3,_oo
57;O,3b3,31S,10,00
58;O,3b3,oo
59;O,3b3,31S,12,00
60;O,3b3,31S,13,00
61;O,3b3,31S,14,00
62;O,3b3,31S,1S_o00
63;O,3b3,31S,1b,,00
64;O,3b3,31S,17,00
65;O,3b3,31S,18,00
66;O,3b3,31S,19,00
67;O,3b3,315,20,00
68;O,3b3,el,_oo
69;O,3b3,315,e2_.oo
70;O,3b3,315,23,00
71;O,3b3,31S,24,00
72;O,3b3,315,25,00
73;O,3b3,315,2b_00
74;O,3b3,31S,27,00
75;O,3b3,315,28,00
76;O,3b3,31S,29_00
77;O,3b3,315,30,00
78;O,3b3,31,_oo
79;O,3b3,315,32,00
80;O,3b3,315,33,00
81;O,3b3,31S,34,oo
82;O,3b3,315,35,00
83;O,3b3,315,3b,_00
84;O,3b3,31S,37,00
85;O,3b3,315,38,00
86;O,3b3,31S,39,00
87;O,3b3,31S,40_00
88;O,3b3,4!,oo
89;O,3b3,31S,42_00
90;O,3b3,31S,43,00
91;O,3b3,31S,4400
92;O,3b3,31S,4S_00
93;O,3b3,31S,4b_00
94;O,3b3,31S,47,00
95;O,3b3,31S,48_00
96;O,3b3,31S,4900
97;O,3b3,315,so_.o00
98;O,3b3,si,_oo
99;O,3b3,315,se_oo
100;O,3b3,315,$3,000
101;O,3b3,31S,s4¥_o00
102;O,3b3,315,ss_oo
103;O,3b3,315,Sb_oOo
104;O,3b3,31S,s?7_00
105;O,3b3,315,s6_.o00
