frame;text
1;O,ATTACKS4S,ATTACKS4#S,oo
2;O,ATTACKS4S,ATTACKS4#S,oo
3;O,ATTACKS4S,ATTACKS4#S
4;O,ATTACKS4S,ATTACKS4#S
5;O,ATTACKS4S,ATTACKS4#S,_oo
6;O,ATTACKS4S,ATTACKS4S
7;O,ATTACKS4S,ATTACKS4S,_oo
8;O,ATTACKS4S,ATTACKS4S,_oo
9;O,ATTACKS4S,ATTACKS4#S
10;O,ATTACKS4S,ATTACKS4#S,_oo
11;O,ATTACKS4S,ATTACKS4S,10,00
12;O,ATTACKS4S,ATTACKS4#S,oo
13;O,ATTACKS4S,ATTACKS4S,12,00
14;O,ATTACKS4S,ATTACKS4S,13,00
15;O,ATTACKS4S,ATTACKS4S,14,00
16;O,ATTACKS4S,ATTACKS4S,1S_o00
17;O,ATTACKS4S,ATTACKS4#S,1b,00
18;O,ATTACKS4S,ATTACKS4#S,17,00
19;O,ATTACKS4S,ATTACKS4S,18,00
20;O,ATTACKS4S,ATTACKS4#S,19,00
21;O,ATTACKS4S,ATTACKS4#S,20,00
22;O,ATTACKS4S,ATTACKS4#S,el,_oo
23;O,ATTACKS4S,ATTACKS4#S,e2_.oo
24;O,ATTACKS4S,ATTACKS4#S,23,00
25;O,ATTACKS4S,ATTACKS4S,24,00
26;O,ATTACKS4S,ATTACKS4#S,25,00
27;O,ATTACKS4S,ATTACKS4#S,2b_00
28;O,ATTACKS4S,ATTACKS4S,27,00
29;O,ATTACKS4S,ATTACKS4#S,28,00
30;O,ATTACKS4S,ATTACKS4S,29_00
31;O,ATTACKS4S,ATTACKS4#S,30,00
32;O,ATTACKS4S,ATTACKS4#S,31,_oo
33;O,ATTACKS4S,ATTACKS4#S,32,00
34;O,ATTACKS4S,ATTACKS4S,33,00
35;O,ATTACKS4S,ATTACKS4S,34,oo
36;O,ATTACKS4S,ATTACKS4S,35,00
37;O,ATTACKS4S,ATTACKS4S,3b,_00
38;O,ATTACKS4S,ATTACKS4S,37,00
39;O,ATTACKS4S,ATTACKS4#S,38,00
40;O,ATTACKS4S,ATTACKS4S,39,00
41;O,ATTACKS4S,ATTACKS4S,40_00
42;O,ATTACKS4S,ATTACKS4#S,4!
43;O,ATTACKS4S,ATTACKS4S,42_00
44;O,ATTACKS4S,ATTACKS4S,43,00
45;O,ATTACKS4S,ATTACKS4S,4400
46;O,ATTACKS4S,ATTACKS4S,4S_00
47;O,ATTACKS4S,ATTACKS4#S,+b_OO
48;O,ATTACKS4S,ATTACKS4#S,47,00
49;O,ATTACKS4S,ATTACKS4S,48_00
50;O,ATTACKS4S,ATTACKS4#S,49,00
51;O,ATTACKS4S,ATTACKS4#S,so_.o00
52;O,ATTACKS4S,ATTACKS4#S,si,_oo
53;O,ATTACKS4S,ATTACKS4#S,se_oo
54;O,ATTACKS4S,ATTACKS4#S,$3,000
55;O,ATTACKS4S,ATTACKS4S,s4¥_o00
56;O,ATTACKS4S,ATTACKS4#S,ss_oo
57;O,ATTACKS4S,ATTACKS4#S,Sb_oOo
58;O,ATTACKS4S,ATTACKS4S,s?7_00
59;O,ATTACKS4S,ATTACKS4#S,s6_.o00
60;O,ATTACKS4S,ATTACKS4S,s9_o00
61;O,ATTACKS4S,ATTACKS4#S,bO_oOO0
62;O,ATTACKS4S,ATTACKS4#S,BI,_oo
63;O,ATTACKS4S,ATTACKS4#S,be,_oo
64;O,ATTACKS4S,ATTACKS4#S,63,00
65;O,ATTACKS4S,ATTACKS4S,bY,oo
66;O,ATTACKS4S,ATTACKS4#S,bS_oOo
67;O,ATTACKS4S,ATTACKS4#S,bb,_OO
68;O,ATTACKS4S,ATTACKS4S,b?_00
