frame;text
1;O,ATTACKSAS,ATTACKS3S,oo,LR
2;O,ATTACKSAS,ATTACKS3S,LR
3;O,ATTACKSAS,ATTACKS3S,LR
4;O,ATTACKSAS,ATTACKS3S,_oo,LR
5;O,ATTACKSAS,ATTACKS3S,LR
6;O,ATTACKSAS,ATTACKS3S,_oo,LR
7;O,ATTACKSAS,ATTACKS3S,_oo,LR
8;O,ATTACKSAS,ATTACKS3S,LR
9;O,ATTACKSAS,ATTACKS3S,_oo,LR
10;O,ATTACKSAS,ATTACKS3S,10,00
11;O,ATTACKSAS,ATTACKS3S
12;O,ATTACKSAS,ATTACKS3S,12,00
13;O,ATTACKSAS,ATTACKS3S,13,00
14;O,ATTACKSAS,ATTACKS3S,14,00
15;O,ATTACKSAS,ATTACKS3S,15,00
16;O,ATTACKSAS,ATTACKS3S,1b,00
17;O,ATTACKSAS,ATTACKS3S,17,00
18;O,ATTACKSAS,ATTACKS3S,16,00
19;O,ATTACKSAS,ATTACKS3S,19,00
20;O,ATTACKSAS,ATTACKS3S,20,00
21;O,ATTACKSAS,ATTACKS3S,el,_oo
22;O,ATTACKSAS,ATTACKS3S,e2_.oo
23;O,ATTACKSAS,ATTACKS3S,23,00
24;O,ATTACKSAS,ATTACKSAS,24,00
25;O,ATTACKSAS,ATTACKS3S,25,00
26;O,ATTACKSAS,ATTACKS3S,2b_00
27;O,ATTACKSAS,ATTACKS3S,e7,00
28;O,ATTACKSAS,ATTACKS3S,28,00
29;O,ATTACKSAS,ATTACKS3S,29,00
30;O,ATTACKSAS,ATTACKS3S,30,00
31;O,ATTACKSAS,ATTACKS3S,31,_oo
32;O,ATTACKSAS,ATTACKS3S,32,00
33;O,ATTACKSAS,ATTACKS3S,33,00
34;O,ATTACKSAS,ATTACKSAS,34,oo
35;O,ATTACKSAS,ATTACKS3S,35,00
36;O,ATTACKSAS,ATTACKS3S,3b,_00
37;O,ATTACKSAS,ATTACKS3S,37,00,LR
38;O,ATTACKSAS,ATTACKS3S,38,00,LR
39;O,ATTACKSAS,ATTACKS3S,39,00,LR
40;O,ATTACKSAS,ATTACKS3S,40,00,LR
41;O,ATTACKSAS,ATTACKS3S,41.00,LR
42;O,ATTACKSAS,ATTACKS3S,42,00,LR
43;O,ATTACKSAS,ATTACKS3S,43,00,LR
44;O,ATTACKSAS,ATTACKSAS,44,00,LR
45;O,ATTACKSAS,ATTACKS3S,4+S_00,LR
46;O,ATTACKSAS,ATTACKS3S,+b_OO,LR
