frame;text
1;oO,34!,eas
2;oO,34!,eas,oo
3;oO,34!,eas
4;o,341,295,3.00
5;oO,34I,29s,4_00,L
6;o,341,295,s_oo,L
7;o,341,295,b_oo
8;oO,34!,eas,_oo
9;oO,34!,eas
10;oO,34!,eas,_oo
11;o,341,295,10,00
12;oO,34!,eas,oo,L
13;o,341,295,12,00
14;o,341,295,13,00
15;oO,34!,eas,14,00,L
16;o,341,295,1S_o00
17;oO,34!,eas,1b,,00,L
18;oO,34!,eas,17,00,L
19;o,341,295,18,00
20;oO,34!,eas,19,00,L
21;o,341,295,20_00
22;oO,34!,eas,el,_oo,L
23;oO,342,25b
24;oO,342,25b,oo
25;oO,342,25b
26;oO,342,25b
27;oO,342,25b,_oo
28;oO,342,25b
29;oO,342,296,b_oo
30;oO,342,296,7,00
31;oO,342,296,8,00
32;oO,342,296,9_00,L
33;oO,342,296,10,00,L
34;oO,342,29b,11.00,L
35;oO,342,296,12,00,L
36;oO,342,296,13,00,OL
37;oO,342,296,14.00,OL
38;oO,342,296,1iS.00,OL
39;oO,342,296,Ib,OO,OL
40;oO,342,29b,17,00,L
41;oO,342,296,18,00,OL
42;oO,342,296,19.00,OL
43;oO,342,296,o_oo0,L
44;oO,342,29b,1.00,L
45;oO,342,296,2,00,L
46;oO,342,296,3.00,L
47;oO,342,296,4,00,L
48;oO,342,296,s_oo,L
49;oO,342,296,b_oo,L
50;oO,342,296,7,00,L
51;oO,342,296,8,00,L
52;oO,342,296,9_00,L
53;oO,342,296,10,00,L
54;oO,342,29b,11.00,L
55;oO,342,296,12,00,L
56;oO,342,296,13,00,OL
57;oO,342,296,14.00,OL
58;oO,342,296,1iS.00,OL
59;oO,342,25b,1b,,00,L
60;oO,342,29b,17,00,L
61;oO,342,296,18,00,OL
62;oO,342,296,19.00,OL
63;oO,343,297,o_oo0
64;oO,343,247,1.00
65;oO,343,297,2,00
66;oO,343,297,3.00
67;oO,343,297,4_o0
68;oO,343,297,s_oo
69;oo,247,oO,343
70;oO,343,2a?,7,00
71;oO,343,297,8,00
72;
73;
74;oO,343,247,11,00
75;oO,343,297,12,00
76;oO,343,297,13,00
77;oO,343,297,14,00
78;oO,343,297,1S_o00
79;
80;oO,343,2a?,17,00
81;oO,343,297,18,00
82;oO,343,2a?,19,00
83;oO,343,ea7,20,00
84;oO,343,297,21,00
85;oO,343,247,22_00,ys
86;oO,343,ea7,23,00
87;oO,343,297,24,00
88;oO,343,ea7,25,00
89;oO,343,297,2b_00
90;oO,343,297,27,00
91;oO,343,ea7,28,00
