frame;text
1;Oo,347,301,oo
2;Oo,347,301
3;Oo,347,301
4;Oo,347,301,_oo
5;Oo,347,301
6;Oo,347,301,_oo
7;Oo,347,301,_oo
8;Oo,347,301
9;Oo,347,301,_oo
10;oO,347,301,10,00
11;Oo,347,301,oo
12;oO,347,301,12,00
13;oO,347,301,13,00
14;oO,347,301,14%,00
15;oO,347,301,1S_o00
16;oO,347,301,1b,,00
17;oO,347,301,17,00
18;oO,347,301,18,00
19;oO,347,301,19,00
20;oO,347,301,20_00
21;Oo,347,301,el,_oo
22;oO,347,301,22_00
23;oO,347,301,23_00
24;oO,347,301,24,00
25;oO,347,301,2s_o0
26;oO,347,301,2b_00
27;oO,347,301,27,00
28;oO,347,301,28_00
29;oO,347,301,29,00
30;oO,347,301,30,00
31;Oo,347,301,31,_oo
32;oO,347,301,32,00
33;oO,347,301,33,00
34;oO,347,301,34,oo
35;oO,347,301,3s_o00
36;oO,347,301,3b,,00
37;oO,347,301,37,00
38;oO,347,301,38,00
39;oO,347,301,3900
40;oO,347,301,40_00
41;Oo,347,301,4!,oo
42;oO,347,301,42_00
43;oO,347,301,43,00
44;oO,347,301,4400
45;oO,347,301,4S_00
46;oO,347,301,4b_00
47;oO,347,301,47,00
48;oO,347,301,48_00
49;oO,347,301,4900
50;oO,347,301,so_oo
51;Oo,347,301,si,_oo
52;oO,347,301,s2_o00
53;oO,347,301,s3_00
54;oO,347,301,s4¥_o00
55;oO,347,301,ss_oo
56;oO,347,301,Sb_oo
57;oO,347,301,s7_o00
58;oO,347,301,se_oo
