frame;text
1;O,EXCAPE,ESCAPEN,oo
2;O,EXCAPE,ESCAPEN,oo
3;O,EXCAPE,ESCAPEN
4;O,EXCAPE,ESCAPEN
5;O,EXCAPE,ESCAPEN,_oo
6;O,EXCAPE,ESCAPEN
7;O,EXCAPE,ESCAPEN,_oo
8;O,EXCAPE,ESCAPEN,_oo
9;O,EXCAPE,ESCAPEN
10;O,EXCAPE,ESCAPEN,_oo
11;O,EXCAPE,ESCAPEN,10,00
12;O,EXCAPE,ESCAPEN,oo
13;O,EXCAPE,ESCAPEN,12,00
14;O,EXCAPE,ESCAPEN,13,00
15;O,EXCAPE,ESCAPEN,14,00
16;O,EXCAPE,ESCAPEN,15,00
17;O,ESCAPE,ESCAPEN,1b,,00
18;O,EXCAPE,ESCAPEN,17,00
19;O,EXCAPE,ESCAPEN,16,00
20;O,EXCAPE,ESCAPEN,19,00
21;O,EXCAPE,ESCAPEN,20,00
22;O,EXCAPE,ESCAPEN,el,_oo
23;O,EXCAPE,ESCAPEN,22_00
24;O,EXCAPE,ESCAPEN,23_00
25;O,EXCAPE,ESCAPEN,24,00
26;O,EXCAPE,ESCAPEN,2s_o0
27;O,EXCAPE,ESCAPEN,2b_00
28;O,EXCAPE,ESCAPEN,27,00
29;O,EXCAPE,ESCAPEN,28_00,R
30;O,EXCAPE,ESCAPEN,29_00,R
31;O,EXCAPE,ESCAPEN,30,00,R
32;O,EXCAPE,ESCAPEN,31,_oo,R
33;O,EXCAPE,ESCAPEN,32,00,R
34;O,EXCAPE,ESCAPEN,33,00
35;O,EXCAPE,ESCAPEN,34,oo
36;O,EXCAPE,ESCAPEN,3s_o00
37;O,EXCAPE,ESCAPEN,3b,,00
38;O,EXCAPE,ESCAPEN,37,00,R
39;O,EXCAPE,ESCAPEN,38,00,R
40;O,EXCAPE,ESCAPEN,39,00,R
41;O,EXCAPE,ESCAPEN,40_00,R
