frame;text
1;Oo,359,311,oo
2;Oo,359
3;Oo,359
4;Oo,359,311,4,_o00
5;Oo,359
6;Oo,359,_oo
7;Oo,359,_oo
8;Oo,359
9;Oo,359,_oo
10;o,359,Bit,10,00
11;Oo,359,oo
12;o,359,Bit,12,00
13;o,359,Bit,13,00
14;o,359,ait,14%,00
15;o,359,Bit,1S_o00
16;o,359,Bit,1b,,00
17;o,359,ait,17,00
18;o,359,Bit,18,00
19;o,359,ait,19,00
20;o,359,Bit,20_00
21;Oo,359,el,_oo
22;o,359,Bit,22_00,ZZ,<9,al
23;o,359,Bit,23_00
24;o,359,Bit,24,00
25;o,359,Bit,2s_o0
26;o,359,Bit,2b_00
27;o,359,Bit,27,00
28;o,359,Bit,28_00
29;o,359,Bit,29_00
30;o,359,Bit,30,00
31;Oo,359,31,_oo
32;o,359,Bit,32,00
33;o,359,Bit,33,00
34;o,359,Bit,34,oo
35;o,359,Bit,3s_o00
36;o,359,Bit,3b,,00
37;o,359,Bit,37,00
38;o,359,Bit,38,00
39;o,359,Bit,39,00
40;o,359,Bit,40_00
41;Oo,359,4!,oo
42;o,359,Bit,42_00
43;o,359,Bit,43,00
44;o,359,ait,4400
45;o,359,Bit,4S_00
46;o,359,Bit,4b_00
47;o,359,ait,47,00
48;o,359,Bit,48_00
49;o,359,ait,4900
50;Oo,359,so_oo,R
51;Oo,359,si,_oo,R
52;Oo,359,s2_o00,R
53;Oo,359,s3_00,R
54;Oo,359,s4¥_o00,R
55;Oo,359,ss_oo
56;Oo,359,Sb_oo
57;Oo,359,s?7_00
58;Oo,359,se_oo
59;Oo,359,s9_o00
60;Oo,359,bo_oo
61;Oo,359,BI,_oo
62;Oo,359,b2_o00
63;Oo,359,b3_00
64;Oo,359,bY,oo
65;Oo,359,bS_oo
66;Oo,359,bb_,oo
67;Oo,359,b?_00
68;Oo,359,be_,oo
69;Oo,359,b9_00
70;Oo,359,70,00
71;Oo,359,a,|,_oo
72;Oo,359,72,00
73;Oo,359,73,00
74;Oo,359,7400
75;o,359,B11,75,00,LR
76;o,359,B11,76,00,LR
77;Oo,359,311,77,00,LR
78;o,359,B11,78,00,LR
