frame;text
1;O,ATTACKHI4,ATTACKHI4,oo
2;O,ATTACKHI4,ATTACKHI4,oo
3;O,ATTACKHI4,ATTACKHI4
4;O,ATTACKHI4,ATTACKHI4
5;O,ATTACKHI4,ATTACKHI4,_oo
6;O,ATTACKHI4,ATTACKHI4
7;O,ATTACKHI4,ATTACKHI4,_oo
8;O,ATTACKHI4,ATTACKHI4,_oo
9;O,ATTACKHI4,ATTACKHI4
10;O,ATTACKHI4,ATTACKHI4,_oo
11;O,ATTACKHI4,ATTACKHI4,10,00
12;O,ATTACKHI4,ATTACKHI4,oo
13;O,ATTACKHI4,ATTACKHI4,12,00
14;O,ATTACKHI4,ATTACKHI4,13,00
15;O,ATTACKHI4,ATTACKHI4,14%,00
16;O,ATTACKHI4,ATTACKHI4,1S_.o00
17;O,ATTACKHI4,ATTACKHI4,1b,00
18;O,ATTACKHI4,ATTACKHI4,17,00
19;O,ATTACKHI4,ATTACKHI4,18,00
20;O,ATTACKHI4,ATTACKHI4,19,00
21;O,ATTACKHI¥,ATTACKHI4,20_00
22;O,ATTACKHI4,ATTACKHI4,el,_oo
23;O,ATTACKHI¥,ATTACKHI4,22_00
24;O,ATTACKHI¥,ATTACKHI4,23_00
25;O,ATTACKHI4,ATTACKHI4,2400
26;O,ATTACKHI¥,ATTACKHI4,2s_o0
27;O,ATTACKHI4,ATTACKHI4,2b,_00
28;O,ATTACKHI+,ATTACKHI4,e7,00
29;O,ATTACKHI¥,ATTACKHI4,28_00
30;O,ATTACKHI+,ATTACKHI4,29,00
31;O,ATTACKHI4,ATTACKHI4,30,00,LR
32;O,ATTACKHI4,ATTACKHI4,31,00,LR
33;O,ATTACKHI+,ATTACKHI4,32,00,LR
34;O,ATTACKHI+,ATTACKHI4,33,00,LR
35;O,ATTACKHI+,ATTACKHI4,34,_o00,LR
36;O,ATTACKHI4,ATTACKHI4,3S_o00,LR
37;O,ATTACKHI4,ATTACKHI4,3b_,00,LR
38;O,ATTACKHI+,ATTACKHI4,37,00,LR
39;O,ATTACKHI4,ATTACKHI4,38_00,LR
40;O,ATTACKHI+,ATTACKHI4,39,00,LR
41;O,ATTACKHI4,ATTACKHI4,40,00,LR
42;O,ATTACKHI4,ATTACKHI4,41.00,LR
43;O,ATTACKHI4,ATTACKHI4,42,00,LR
44;O,ATTACKHI4,ATTACKHI4,43,00,LR
45;O,ATTACKHI4,ATTACKHI4,44,_00,LR
46;O,ATTACKHI4,ATTACKHI4,4+S_00,LR
47;O,ATTACKHI4,ATTACKHI4,+b_OO,LR
48;O,ATTACKHI4,ATTACKHI4,47,00,LR
49;O,ATTACKHI4,ATTACKHI4,46,00,LR
50;O,ATTACKHI4,ATTACKHI4,49,00,LR
51;O,ATTACKHI4,ATTACKHI4,so_oo,LR
52;O,ATTACKHI4,ATTACKHI4,s!1.00,LR
53;O,ATTACKHI4,ATTACKHI4,s2e_o0,LR
54;O,ATTACKHI4,ATTACKHI4,s3_o00,LR
55;O,ATTACKHI4,ATTACKHI4,s4¥_o0o,LR
56;O,ATTACKHI4,ATTACKHI4,ss_oo,LR
57;O,ATTACKHI4,ATTACKHI4,Sb,_,00,LR
58;O,ATTACKHI+,ATTACKHI4,s7_o00,LR
