frame;text
1;O,ATTACKHIS3Z,ATTACKHI3,oo
2;O,ATTACKHIS3Z,ATTACKHI3
3;O,ATTACKHIS3Z,ATTACKHI3
4;O,ATTACKHIS3Z,ATTACKHI3,_oo
5;O,ATTACKHIS3Z,ATTACKHI3
6;O,ATTACKHIS3Z,ATTACKHI3,_oo
7;O,ATTACKHIS3Z,ATTACKHI3,_oo
8;O,ATTACKHIS3Z,ATTACKHI3
9;O,ATTACKHIS3Z,ATTACKHI3,_oo
10;O,ATTACKHIS,ATTACKHI3,10,00
11;O,ATTACKHIS3Z,ATTACKHI3,oo
12;O,ATTACKHIS,ATTACKHI3,12,00
13;O,ATTACKHIS,ATTACKHI3,13,00
14;O,ATTACKHIS,ATTACKHI3,14,00
15;O,ATTACKHIS,ATTACKHI3,15,00
16;O,ATTACKHIS,ATTACKHI3,1b,00
17;O,ATTACKHIS,ATTACKHI3,17,00
18;O,ATTACKHIS,ATTACKHI3,16,00
19;O,ATTACKHIS,ATTACKHI3,19,00
20;O,ATTACKHIS,ATTACKHI3,20,00
21;O,ATTACKHIS3Z,ATTACKHI3,el,_oo
22;O,ATTACKHIS,ATTACKHI3,e2_.oo
23;O,ATTACKHIS,ATTACKHI3,23,00
24;O,ATTACKHIS,ATTACKHI3,e4,oo
25;O,ATTACKHIS,ATTACKHI3,25,00
26;O,ATTACKHIS,ATTACKHI3,2b_00
27;O,ATTACKHIS,ATTACKHI3,e7,00
28;O,ATTACKHIS,ATTACKHI3,28,00
29;O,ATTACKHIS,ATTACKHI3,29,00
30;O,ATTACKHIS,ATTACKHI3,30,00
31;O,ATTACKHIS3Z,ATTACKHI3,31,_oo
32;O,ATTACKHIS,ATTACKHI3,32,00
33;O,ATTACKHIS,ATTACKHI3,33,00
34;O,ATTACKHIS,ATTACKHI3,34,_o00
35;O,ATTACKHIS,ATTACKHI3,35,00
36;O,ATTACKHIS,ATTACKHI3,3b,_00
37;O,ATTACKHIS,ATTACKHI3,37,00
38;O,ATTACKHIS,ATTACKHI3,38,00
39;O,ATTACKHIS,ATTACKHI3,39,00
40;O,ATTACKHIS,ATTACKHI3,40,00
41;O,ATTACKHIS3Z,ATTACKHI3,4!,oo
42;O,ATTACKHIS,ATTACKHI3,42,00
43;O,ATTACKHIS,ATTACKHI3,43,00
44;O,ATTACKHIS,ATTACKHI3,44,_00
45;O,ATTACKHIS,ATTACKHI3,4+S_00
46;O,ATTACKHIS,ATTACKHI3,+b_OO
47;O,ATTACKHIS,ATTACKHI3,47,00
48;O,ATTACKHIS,ATTACKHI3,46,00
49;O,ATTACKHIS,ATTACKHI3,49,00
50;O,ATTACKHIS,ATTACKHI3,so_.o00
51;O,ATTACKHIS3Z,ATTACKHI3,si,_oo
52;O,ATTACKHIS,ATTACKHI3,se_oo
53;O,ATTACKHIS,ATTACKHI3,$3,000
