frame;text
1;oO,374,3e4,oo
2;oO,374,3e4
3;oO,374,3e4
4;oO,374,3e4,_oo
5;oO,374,3e4
6;oO,374,3e4,_oo
7;oO,374,3e4,_oo
8;Oo,37S,325
9;Oo,37S,325,oo
10;Oo,37S,325
11;Oo,37S,325
12;Oo,37S,_oo
13;Oo,37S
14;Oo,37S,325,_oo
15;Oo,37S,325,_oo
16;Oo,37S,325
17;Oo,37S,325,_oo
18;Oo,37S,325,10,00
19;Oo,37S,325,oo
20;Oo,37S,325
21;Oo,37S,325,oo
22;Oo,37S,325
23;Oo,37S,325
24;Oo,37S,_oo
25;Oo,37S,325
26;Oo,37S,325,_oo
27;Oo,37S,325,_oo
28;Oo,37S,325
29;Oo,37S,325,_oo
30;Oo,37S,325,10,00
31;Oo,37S,325,oo
32;Oo,37S,325
33;Oo,37S,325,oo
34;Oo,37S,325
35;Oo,37S,325
36;Oo,37S,_oo
37;Oo,37S
38;Oo,37S,325,_oo
39;Oo,37S,325,_oo
40;Oo,370,320
41;Oo,370,320,_oo
42;Oo,370,320,10,00
43;Oo,370,320,oo
44;Oo,370,320
45;Oo,370,320,oo
