frame;text
1;oOo,380,330,oo
2;oOo,380
3;oOo,380,330
4;oOo,380,330,_oo
5;oOo,380,330
6;oOo,380,330,_oo
7;oOo,380,330,_oo
8;oOo,380,330
9;oOo,380,330,_oo
10;oOo,380,330,10,00
11;oOo,380,330,oo
12;oOo,380,330,12,00
13;oOo,380,330,13,00
14;oOo,380,330,14,00
15;oOo,380,330,15,00
16;oOo,380,330,1b,00
17;oOo,380,330,17,00
18;oOo,380,330,16,00
19;oOo,380,330,19,00
20;oOo,380,330,20,00
21;oOo,380,330,el,_oo
22;oOo,380,330,e2_.oo
23;oOo,380,330,23,00
24;oOo,380,330,e+,oo
25;oOo,380,330,25,00
26;oOo,380,330,2b_00
27;oOo,380,330,27,00
28;oOo,380,330,28,00
29;oOo,380,330,29,00
30;oOo,380,330,30,00
31;oOo,380,330,_oo
32;oOo,380,330,32,00
33;oOo,380,330,33,00
34;oOo,380,330,34,O00
35;oOo,380,330,35,00
36;oOo,380,330,3b,_00
37;oOo,380,330,37,00
38;oOo,380,330,38,00
39;oOo,380,330,39,00
40;oOo,380,330,40,00
41;oOo,380,330,4!,oo
42;oOo,380,330,42,00
43;oOo,380,330,43,00
44;oOo,380,330,44,O00
45;oOo,380,330,4+S_00
46;oOo,380,330,+b_OO
47;oOo,380,330,47,00
48;oOo,380,330,46,00
49;oOo,380,330,49,00
50;oOo,380,330,so_.o00
51;oOo,380,330,si,_oo
52;oOo,380,330,se_oo
53;oOo,380,330,$3,000
54;oOo,380,330,s+,oo
55;oOo,380,330,ss_oo
56;oOo,380,330,Sb_oOo
57;oOo,380,330,s7_o00
58;oOo,380,330,s6_.o00
