frame;text
1;Oo,3862,332,oo
2;Oo,3862,332
3;Oo,3862,332
4;Oo,3862,332,4,_O00
5;362,332,s_,oo
6;Oo,3862,332,b_oOOo
7;oo,332,Oo,3862
8;Oo,3862,332,68,00
9;Oo,3862,332,_oo
10;Oo,3862,332,10,00
11;Oo,3862,332,oo
12;Oo,3862,332,12,00
13;Oo,3862,332,13,00
14;Oo,3862,332,14,00
15;Oo,3862,332,15,00
16;Oo,3862,332,1b,00
17;Oo,3862,332,17,00
18;Oo,3862,332,16,00
19;Oo,3862,332,19,00
20;Oo,3862,332,20,00
21;Oo,3862,332,el,_oo
22;Oo,3862,332,e2_.oo
23;Oo,3862,332,23,00
24;Oo,3862,332,e+,oo
25;Oo,3862,332,25,00
26;Oo,3862,332,2b_00
27;Oo,3862,332,27,00
28;Oo,3862,332,28,00
29;Oo,3862,332,29,00
30;Oo,3862,332,30,00
31;Oo,3862,332,31,_oo
32;Oo,3862,332,32,00
33;Oo,3862,332,33,00
34;Oo,3862,332,34,O00
35;Oo,3862,332,35,00
36;Oo,3862,332,3b,_00
37;Oo,3862,332,37,00
38;Oo,3862,332,38,00
39;Oo,3862,332,39,00
40;Oo,3862,332,40,00
41;Oo,3862,332,4!,oo
42;Oo,3862,332,42,00
43;Oo,3862,332,43,00
44;Oo,3862,332,44,O00
45;Oo,3862,332,4+S_00
46;Oo,3862,332,+b_OO
47;Oo,3862,332,47,00
48;Oo,3862,332,46,00
49;Oo,3862,332,49,00
50;Oo,3862,332,so_.o00
51;Oo,3862,332,si,_oo
52;Oo,3862,332,se_oo
53;Oo,3862,332,$3,000
54;Oo,3862,332,s+,oo
55;Oo,3862,332,ss_oo
56;Oo,3862,332,Sb_oOo
57;Oo,3862,332,s7_o00
58;Oo,3862,332,s6_.o00
59;Oo,3862,332,s9,o00
60;Oo,3862,332,bO_oOO0
61;Oo,3862,332,BI,_oo
62;Oo,3862,332,be,_oo
63;Oo,3862,332,63,00
64;Oo,3862,332,bY,OO
65;Oo,3862,332,bS_oOo
66;Oo,3862,332,bb,_OO
67;Oo,3862,332,b7?_OO0
68;Oo,3862,332,be,oOo
69;Oo,3862,332,69,00
70;Oo,3862,332,70,00
71;Oo,3862,332,a,|,_oo
72;Oo,3862,332,72,00
73;Oo,3862,332,73,00
74;Oo,3862,332,74,OO
75;Oo,3862
76;Oo,3862,332,7b_,O00
77;Oo,3862,332,77,00
78;Oo,3862,332,78,00
79;Oo,3862,332,79,00
80;Oo,3862,332,60,00
81;Oo,3862,332,_oo
82;Oo,368!,331,Be,_oo
83;Oo,368!,331,63,00
