frame;text
1;Oo,383,333,oo
2;Oo,383,333
3;Oo,383,333
4;Oo,383,333,_oo
5;Oo,383,333
6;Oo,383,333,_oo
7;Oo,383,_oo
8;Oo,383
9;Oo,383,_oo
10;Oo,383,333,10,00
11;
12;Oo,383,333,12,00
13;
14;Oo,384,334,LR
15;Oo,384,334,oo,LR
16;Oo,384,334,LR
17;Oo,384,334,LR
18;Oo,384,334,_oo,LR
19;Oo,384,334
20;oO,384,334,b_oo
21;Oo,384,334,7,00
22;
23;o,384,38,334,9_o00,T
24;
25;
26;o,384,38,334,12,00
27;o,384,38,334,13,00
28;o,384,38,334,14,00
29;o,384,38,334,1S_o00
30;oO,384,334,1b,,00,T
31;oO,384,334,17,00,T
32;o,384,38,334,18,00
33;
34;
35;
36;Oo,384,334,e2_.oo
37;Oo,384,334,23,00
38;o,384,38,334,24,00
39;Oo,384,334,25,00
40;oO,384,334,2b_00
41;oO,385,335,LR
42;oO,385,335,oo,LR
43;oO,385,335,LR
44;oO,385,335,LR
45;oO,385,335,_oo,LR
46;oO,385,335,LR
47;oO,385,335,_oo,LR
48;oO,385,335,_oo,LR
49;oO,385,335,LR
50;oO,385,335,_oo,LR
51;oO,385,335,10,00,LR
52;oO,385,335,11,00,LR
53;oO,385,335,12,00,LR
54;oO,385,335,13,00,LR
55;oO,385,335,14,00,LR
56;oO,385,335,15,00,LR
57;oO,385,335,1b,00,LR
58;oO,385,335,17,00,LR
59;oO,385,335,16,00,LR
