frame;text
1;O,ATTACKS4S,ATTACKS4#S,oo,LR
2;O,ATTACKS4S,ATTACKS4#S,oo,LR
3;O,ATTACKS4S,ATTACKS4#S,LR
4;O,ATTACKS4S,ATTACKS4#S,LR
5;O,ATTACKS4S,ATTACKS4#S,_oo,LR
6;O,ATTACKS4S,ATTACKS4S,LR
7;O,ATTACKS4S,ATTACKS4S,_oo,LR
8;O,ATTACKS4S,ATTACKS4S,_oo,LR
9;O,ATTACKS4S,ATTACKS4#S,LR
10;O,ATTACKS4S,ATTACKS4#S,_oo,LR
11;O,ATTACKS4S,ATTACKS4S,10,00,LR
12;O,ATTACKS4S,ATTACKS4S,11.00,LR
13;O,ATTACKS4S,ATTACKS4S,12,00,LR
14;O,ATTACKS4S,ATTACKS4S,13,00,LR
15;O,ATTACKS¥S,ATTACKS4S,14%,00,LR
16;O,ATTACKS4S,ATTACKS4S,1S.00,LR
17;O,ATTACKS4S,ATTACKS4S,1b,00,LR
18;O,ATTACKS4HS,ATTACKS4S,17,00,LR
19;O,ATTACKS4S,ATTACKS4S,16,00,LR
20;O,ATTACKS4S,ATTACKS4S,19,00,LR
21;O,ATTACKS4S,ATTACKS4S,20,00,LR
22;O,ATTACKS4S,ATTACKS4S,21,00,LR
23;O,ATTACKS4S,ATTACKS4#S,e2_.oo,LR
24;O,ATTACKS4S,ATTACKS4#S,23,00,LR
25;O,ATTACKS4S,ATTACKS4S,24.00,LR
26;O,ATTACKS4S,ATTACKS4S,25,00,LR
27;O,ATTACKS4S,ATTACKS4S,2b_00,LR
28;oq,oo"2z2,SHSHDVLLV,ShSaovilv,oO
29;O,ATTACKS¥S,\,ATTACKS4S,28,00,LR
30;O,ATTACKS4S,ATTACKS4S,29,00,LR,\,SN
31;O,ATTACKS4S,ATTACKS4S,30,00,LR
32;O,ATTACKS4S,ATTACKS4S,31,00,LR
33;O,ATTACKS4S,ATTACKS4S,32,00,LR
34;O,ATTACKS4#S,ATTACKS4S,33,00,LR
35;O,ATTACKS4S,ATTACKS4S,34,_o00,LR
36;O,ATTACKS4S,ATTACKS4S,35,00,LR
37;O,ATTACKS4S,ATTACKS4S,3b,_00,LR
38;O,ATTACKS4S,ATTACKS4S,37,00,LR
39;O,ATTACKS4S,ATTACKS4S,38,00,LR
40;oq,00,"bE,ShHSADVLLIV,ShSaovilv,oO
41;O,ATTACKS4S,ATTACKS4S,40,00,LR
42;O,ATTACKS4#S,ATTACKS4S,41.00,LR
43;O,ATTACKS4#S,ATTACKS4S,42,00,LR
44;O,ATTACKS4#S,ATTACKS4S,43,00,LR
45;O,ATTACKS4S,ATTACKS#S,44.00,LR
46;O,ATTACKS4#S,ATTACKS4S,4+S_00,LR
47;O,ATTACKS4#S,ATTACKS4S,+b_OO,LR
48;O,ATTACKS4S,ATTACKS#S,47,00,LR
49;O,ATTACKS4#S,ATTACKS4S,46,00,LR
50;O,ATTACKS4#S,ATTACKS4S,49,00,LR
51;O,ATTACKS4#S,ATTACKS4S,so_.o00,LR
52;O,ATTACKS4#S,ATTACKS4S,s!1.00,LR
53;O,ATTACKS4#S,ATTACKS4S,se_oo,LR
