frame;text
1;O,3b9,oo
2;O,3b9
3;O,3b9
4;O,3b9,_oo
5;O,3b9
6;O,3b9,_oo
7;O,3b9,_oo
8;Oo,370,320
9;Oo,370,320,oo
10;Oo,370,320
11;Oo,370,320
12;Oo,370,320,_oo
13;Oo,370,320
14;Oo,370,320,_oo
15;Oo,370,320,_oo
16;Oo,370,320
17;Oo,370,320,_oo
18;Oo,370,320,10,00
19;Oo,370,320,oo,L
20;Oo,370,320
21;Oo,370,320,oo
22;Oo,370,320
23;Oo,370,320
24;Oo,370,320,_oo
25;Oo,370,320
26;Oo,370,320,_oo
27;Oo,370,320,_oo
28;Oo,370,320
29;Oo,370,320,_oo
30;Oo,370,320,10,00
31;Oo,370,320,oo,L
32;Oo,370,320
33;Oo,370,320,oo
34;Oo,370,320
35;Oo,370,320
36;Oo,370,320,_oo
37;Oo,370,320
38;Oo,370,320,_oo
39;Oo,370,320,_oo
40;Oo,370,320
41;Oo,370,320,_oo
42;Oo,370,320,10,00
43;Oo,370,320,oo,L
44;Oo,370,320
45;Oo,370,320,oo
