frame;text
1;o,379,329,oo
2;o,379,329
3;o,379,329
4;o,379,329,_oo
5;o,379,329
6;o,379,329,_oo
7;o,379,329,_oo
8;o,379,329
9;o,379,329,_oo
10;>,o,379,329,10,00
11;o,379,329,oo
12;>,o,379,329,12,00
13;>,o,379,329,13,00
14;>,o,379,329,14%,00
15;>,o,379,329,1S_.o00
16;2,o,379,329,1b,,00
17;o,379,3,329,17,00
18;>,o,379,329,18,00
19;>,o,379,329,19,00
20;o,379,329,20_00
21;o,379,329,el,_oo
22;o,379,329,22_00
23;o,379,329,23_00
24;o,ren,|,3,329,24,00
25;o,379,329,2s_o0
26;o,379,329,2b_00
27;o,ren,|,3,329,27,00
28;o,379,329,28_00
29;o,ren,|,3,329,29_00
30;o,379,329,30,00
31;o,379,329,_oo
32;o,379,329,32,00
33;o,379,329,33,00
34;o,ren,|,3,329,34,oo
35;o,379,329,3s_o00
36;o,379,329,3b,,00
37;o,ren,|,3,329,37,00
38;o,379,329,38,00
39;o,ren,|,3,329,39,00
40;>,o,379,329,40,00
41;o,379,329,4!,oo
42;>,o,379,329,42,00
43;>,o,379,329,43,00
44;o,379,3,329,4400
45;>,o,379,329,45,00
46;o,ren,|,3,329,4b_00
47;>,o,379,329,47,00
48;>,o,379,329,48,00
49;>,o,379,329,4900
50;o,379,329,so_oo
51;o,379,329,si,_oo
52;o,379,329,s2_o00
53;o,379,329,s3_00
54;o,ren,|,3,329,s4¥_o00
55;o,379,329,ss_oo
56;o,379,329,Sb_oo
57;o,ren,|,3,329,s?7_00
58;o,379,329,se_oo
