frame;text
1;O,36!,oo
2;O,36!
3;O,36!,331
4;O,36!,331,_oo
5;O,36!,331
6;oO,381,331,b_oo
7;oO,381,331,7,00
8;oO,381,331,8,00
9;oO,381,331,9_o00
10;10,00,O,36!
11;oO,381,331,11,00,ja,
12;oO,381,331,12,00
13;oO,381,331,13,00
14;oO,381,331,14,00
15;oO,381,331,1S_o00
16;oO,381,331,1b,,00
17;oO,381,331,17,00
18;oO,381,331,18,00
19;oO,381,331,19,00
20;Oo,368!,331,20,00
21;O,36!,331,el,_oo
22;Oo,368!,331,e2_.oo
23;Oo,368!,331,23,00
24;oO,381,331,24,00
25;Oo,368!,331,25,00
26;oO,381,331,2b_00
27;oO,381,331,27,00
28;Oo,368!,331,28,00
29;oO,381,331,29_00
30;Oo,368!,331,30,00
31;O,36!,331,31,_oo
32;Oo,368!,331,32,00
33;Oo,368!,331,33,00
34;oO,381,331,34,oo
35;Oo,368!,331,35,00
36;oO,381,331,3b,,00
37;oO,381,331,37,00
38;Oo,368!,331,38,00
39;oO,381,331,39,00
40;oO,381,331,40_00
41;O,36!,331,4!,oo
42;oO,381,331,42_00
43;oO,381,331,43,00
44;oO,381,331,4400
45;oO,381,331,4S_00
46;oO,381,331,4b_00
47;oO,381,331,47,00
48;oO,381,331,48_00
49;oO,381,331,4900
50;Oo,368!,331,so_.o00
51;O,36!,331,si,_oo
52;Oo,368!,331,se_oo
53;Oo,368!,331,$3,000
54;oO,381,331,s4¥_o00
55;Oo,368!,331,ss_oo
56;oO,381,331,Sb_oo
57;oO,381,331,s?7_00
58;Oo,368!,331,s6_.o00
59;oO,381,331,s9_o00
60;oO,381,331,bo_oo
61;O,36!,331,BI,_oo
62;oO,381,331,b2_o00
63;oO,381,331,b3_00
64;oO,381,331,bY,oo
65;oO,381,331,bS_oo
66;
67;
68;oO,381,331,be_,oo
69;oO,381,331,b9_00
70;oO,381,331,70,00
71;O,36!,a,|,_oo
72;oO,381,331,72,00
73;oO,381,331,73,00
74;oO,381,331,7400
75;Oo,38!,331,75,00,LR
76;Oo,38!,331,76,00,LR
77;Oo,38!,331,77,00,LR
78;Oo,38!,331,76,00,LR
79;Oo,38!,331,79,00,LR
80;Oo,368!,331,60,00,LR
81;Oo,38!,331,81,00,LR
82;Oo,368!,331,Be,_oo,LR
83;Oo,368!,331,63,00,LR
