frame;text
1;oO,344,25b,oo
2;oO,344,25b
3;oO,344,25b
4;oO,344,29b,4_00
5;oO,344,296,s_oo
6;
7;
8;oO,344,25b
9;oO,344,25b,_oo
10;oO,344,3,29b,10,00
11;oO,344,25b,oo
12;oO,344,3,29b,12,00
13;oO,344,3,29b,13,00
14;oO,344,296,14,00
15;oO,344,296,1S_o00
16;oO,344,29b,Ib,,O00
17;oO,344,296,17,00
18;oO,344,296,18,00
19;oO,344,296,19,00
20;oO,344,296,20_00
21;oO,344,25b,el,_oo
22;oO,344,296,22_00
23;oO,344,296,23_00
24;Oo,344,29b,2400
25;oO,344,296,2s_o0
26;oO,344,296,2b_00
27;Oo,344,29b,27,00
28;oO,344,296,28_00
29;Oo,344,29b,29,00
30;oO,344,296,30,00
31;oO,344,25b,31,_oo
32;oO,344,296,32,00
33;oO,344,296,33,00
34;Oo,344,29b,3400
35;oO,344,296,3s_o00
36;oO,344,296,3b,,00
37;Oo,344,29b,37,00
38;oO,344,296,38,00
39;Oo,344,29b,3900
40;oO,344,296,40_00
41;oO,344,25b,4!,oo
42;oO,344,296,42_00
