frame;text
1;Oo,348,300,oo
2;Oo,348,300
3;Oo,348,300
4;Oo,348,300,_oo
5;Oo,348
6;Oo,348,300,_oo
7;Oo,348,300,_oo
8;Oo,348
9;Oo,348
10;Oo,348,300,10,00
11;Oo,348,300,11,00
12;Oo,348,300,12,00
13;Oo,348,300,13,00
14;Oo,348,300,14,00
15;Oo,348,300,15,00
16;Oo,348,300,1b,00
17;Oo,348,300,17,00
18;Oo,348,300,16,00
19;Oo,348,300,19,00
20;Oo,348,300,20,00
21;Oo,348,300,el,_oo
22;Oo,348,300,e2_.oo
23;Oo,348,300,23,00
24;Oo,348,300,e+,oo
25;Oo,348,300,25,00
26;Oo,348,300,2b_00
27;Oo,348,300,27,00
28;Oo,348,300,28,00
29;Oo,348,300,29,00
30;Oo,348,300,30,00
31;Oo,348,300,31,_oo
32;Oo,348,300,32,00
33;Oo,348,300,33,00
34;Oo,348,300,34,O00
35;Oo,348,300,35,00
36;Oo,348,300,3b,_00
