frame;text
1;O,ATTACKAIRLW,ATTACKAIRLW,oo
2;O,ATTACKAIRLW,ATTACKAIRLW
3;O,ATTACKAIRLW,ATTACKAIRLW
4;O,ATTACKAIRLW,ATTACKAIRLW,_oo
5;O,ATTACKAIRLW,ATTACKAIRLW
6;O,ATTACKAIRLW,ATTACKAIRLW,_oo
7;O,ATTACKAIRLW,ATTACKAIRLW,_oo
8;O,ATTACKAIRLW,ATTACKAIRLW
9;O,ATTACKAIRLW,ATTACKAIRLW,_oo
10;oo"o1,MAMIVADVLIV,MIMIVADVLLIV,O
11;oo,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
12;O,ATTACKAIRLW,ATTACKAIRLW,12,00
13;O,ATTACKAIRLW,ATTACKAIRLW,13,00
14;O,ATTACKAIRLW,ATTACKAIRLW,14,00
15;O,ATTACKAIRLW,ATTACKAIRLW,15,00
16;oo"41,MAMIVADVLLIV,MAMIVADVLIVv,O
17;oo".21,MIAMIVADVLLV,MAAIVaADVLLV,O
18;O,ATTACKAIRLW,ATTACKAIRLW,16,00
19;O,ATTACKAIRLW,ATTACKAIRLW,19,00
20;O,ATTACKAIRLW,ATTACKAIRLW,20,00
21;O,ATTACKAIRLW,ATTACKAIRLW,el,_oo
22;oo"ze,MIAMIVADVLLV,MAAIVaADVLLV,O
23;oo"cea,MIAMIVADVLLV,MAAIVaADVLLV,O
24;O,ATTACKAIRLW,ATTACKAIRLW,e4,oo
25;O,ATTACKAIRLW,ATTACKAIRLW,25,00
26;O,ATTACKAIRLW,ATTACKAIRLW,2b_00
27;O,ATTACKAIRLW,ATTACKAIRLW,e7,00
28;O,ATTACKAIRLW,ATTACKAIRLW,28,00
29;O,ATTACKAIRLW,ATTACKAIRLW,29,00
30;O,ATTACKAIRLW,ATTACKAIRLW,30,00
31;O,ATTACKAIRLW,ATTACKAIRLW,31,_oo
32;O,ATTACKAIRLW,ATTACKAIRLW,32,00
33;O,ATTACKAIRLW,ATTACKAIRLW,33,00
34;O,ATTACKAIRLW,ATTACKAIRLW,34,_o00
35;O,ATTACKAIRLW,ATTACKAIRLW,35,00
36;O,ATTACKAIRLW,ATTACKAIRLW,3b,_00
37;O,ATTACKAIRLW,ATTACKAIRLW,37,00
