frame;text
1;Oo,347,2a9,oo
2;Oo,347,2a9
3;Oo,347,2a9
4;Oo,347,2a9,_oo
5;Oo,347,2a9,_oo
6;Oo,347
7;Oo,347,2a9,_oo
8;Oo,347
9;Oo,347
10;Oo,347,2a9,10,00
11;Oo,347,2a9,oo
12;oO,347,299,12,00
13;oO,347,299,13,00
14;oO,347,299,14%,00
15;oO,347,299,1S_.o00
16;oO,347,299,1b,,00
17;oO,347,299,17,00
18;oO,347,299,18,00
19;oO,347,299,19,00
20;oO,347,299,20_00
21;Oo,347,2a9,el,_oo
22;oO,347,299,22_00
23;oO,347,299,23_00
24;oO,347,299,2400
25;oO,347,299,2s_o0
26;oO,347,299,2b_00
27;oO,347,299,27,00
28;oO,347,299,28_00
29;oO,347,299,29,00
30;oO,347,299,30,00
31;Oo,347,2a9,31,_oo
32;oO,347,299,32,00
33;oO,347,299,33,00
34;oO,347,299,3400
35;oO,347,299,3s_o00
36;oO,347,299,3b,,00
