frame;text
1;oO,344,278,oo
2;oO,344,278
3;oO,344,278
4;oO,344,278,_oo
5;oO,34S,2a9
6;oO,34S,2a9,oo
7;oO,34S,2a9
8;oO,34S,2a9
9;oO,34S,2a9,_oo
10;oO,34S,2a9
11;oO,34S,2a9,_oo
12;oO,34S,2a9,_oo
13;oO,34s,299,8,00
14;oO,34s,2eag,9,00
15;oO,34s,299,10,00
16;11,00
17;oO,34s,299,12,00
18;oO,34s,299,13,00
19;oO,34s,299,14,00
20;
21;oo,300,Oo,34b
22;_oo,300,Oo,34b
23;Oo,34b,300,2,00
24;Oo,34b,300,3,00
25;Oo,34b
26;Oo,34b,300
27;Oo,34b,300,_oo
28;Oo,34b,300,_oo
29;Oo,34b,300,_oo
30;Oo,34b,300,_oo
31;Oo,34b,300,10,00
32;Oo,34b,300,oo
33;Oo,34b,300,12,00
34;Oo,34b
35;Oo,34b,300,14,00
36;Oo,34b,300,15,00
37;Oo,34b,300,1b,00
38;Oo,34b,300,17,00
39;Oo,34b,300,16,00
40;Oo,34b,300,19,00
41;Oo,34b,300,20,00
