frame;text
1;o,350,304,oo,LR
2;o,350,304,LR
3;o,350,304,LR
4;o,350,LR
5;o,350,LR
6;
7;o,350,304,_oo,LR
8;o,350,304,LR
9;o,350,304,_oo,LR
10;o,350,304,10,00,LR
11;Oo,350,304,11.00,LR
12;o,350,304,12,00,LR
13;o,350,304,13,00,LR
14;o,350,304,14,00,LR
15;o,350,304,1S.00,LR
16;oO,35!,30S
17;oO,35!,30S,oo
18;oO,35!,30S
19;oO,35!,30S
20;oO,352,30b
21;oO,352,30b,oo
22;oO,352,30b
23;oO,352,30b
24;oO,352,30b,_oo
25;oO,352,30b
26;oO,352,30b,_oo
27;oO,352,30b,_oo
28;oO,352,30b
29;oO,352,30b,_oo
30;oO,352,30b,10,00
31;oO,352,30b,oo
32;oO,352,30b,12,00
33;oO,352,30b,13,00
34;oO,352,30b,14,00
35;oO,352,30b,15,00
36;oO,352,30b,1b,00
37;oO,352,30b,17,00
38;oO,352,30b,16,00
39;oO,352,30b,19,00
40;oO,352,30b,20,00
41;oO,352,30b,el,_oo
42;oO,352,30b,e2_.oo
43;oO,352,30b,23,00
44;oO,352,30b,e+,oo
45;oO,352,30b,25,00
46;oO,352,30b,2b_00
47;oO,352,30b,27,00
48;oO,352,30b,28,00
49;oO,352,30b,29,00
50;oO,352,30b,30,00
51;oO,352,30b,_oo
52;oO,352,30b,32,00
53;oO,352,30b,33,00
54;oO,352,30b,34,O00
55;oO,352,30b,35,00
56;oO,352,30b,3b,_00
57;oO,352,30b,37,00
58;oO,352,30b,38,00
