frame;text
1;Oo,354,308,oo,LR
2;Oo,354,308,LR
3;354,308,or,,LR
4;Oo,354,308,_oo,LR
5;Oo,354,308,LR
6;Oo,354,308,_oo,LR
7;308,Oo,354
8;Oo,354,308,_oo,LR
9;Oo,354,308,_oo,LR
10;Oo,3S4,308,10,00,LR
11;Oo,354,308,11.00,LR
12;Oo,3S4,308,12,00,LR
13;Oo,3S4,308,13,00,LR
14;oO,3s4,308,14,00,LR
15;354,308,1S_o00,LR
16;Oo,3S4,308,1b,00,LR
17;Oo,354
18;Oo,354
19;oO,3s4,308,19.00,LR
20;Oo,3S4,308,20,00,LR
21;Oo,354,308,el,_oo,LR
22;Oo,3S4,308,e2_.oo,LR
23;Oo,3S4,308,23,00,LR
24;Oo,354,308,24,00,LR
25;Oo,3S4,308,25,00,LR
26;Oo,3S4,308,2b_00,LR
27;Oo,354,308,27,00,LR
28;Oo,3S4,308,28,00,LR
29;Oo,3S4,308,29,00,LR
30;Oo,354,30,00,LR
31;Oo,3S4,308,31,00,LR
32;Oo,354
33;Oo,354,308,33,00,LR
34;Oo,3S4,308,34,_o00,LR
35;Oo,3S4,308,35,00,LR
36;Oo,3S4,308,3b,_00,LR
37;Oo,354,308,37,00,LR
38;Oo,3S4,308,38,00,LR
39;Oo,3S4,308,39,00,LR
40;Oo,3S4,308,40,00,LR
41;oO,3s4,308,41,00,LR
42;Oo,354,308,42_00,LR
43;O,35b,309
44;O,35b,309,oo
45;O,35b,309,2,00
46;O,35b,309,3,00
47;O,35b,309,4_o00
48;O,35b,309,s_,oo
49;O,35b,309,b_oo
50;O,35b,309,.oo
51;O,35b,309
52;O,35b,309,.oo
53;O,35b,309,10,00
54;O,35b,309,11,00
55;O,35b,309,12,00
56;O,35b,309,13,00
57;O,35b,309,14,00
58;O,35b,309,1S_o00
59;O,35b,309,Ib,00
60;O,3S5b,309,17,00
61;O,35b,309,18,00
62;O,3S5b,309,19_00
63;O,35b,309,20,00
64;O,35b
65;oO,358,_oo
66;oO,358,_oo
67;oO,358
68;oO,358
69;oO,358,_oo
70;oO,358
71;oO,358
72;oO,358
73;oO,358
74;oO,358,_oo
75;o,358,Bi,10,00
76;
77;o,358,Bi,12,00,a,gi
78;o,358,Bi,13,00
79;o,358,Bi,14,00
80;o,358,Bi,1S_o00
81;o,358,Bi,1b,,00
82;o,358,Bi,17,00
83;o,358,Bi,18,00
