frame;text
1;O,ATTACKAIRLW,ATTACKAIRLW,oo
2;O,ATTACKAIRLW,ATTACKAIRLW
3;O,ATTACKAIRLW,ATTACKAIRLW
4;O,ATTACKAIRLW,ATTACKAIRLW,_oo
5;O,ATTACKAIRLW,ATTACKAIRLW
6;O,ATTACKAIRLW,ATTACKAIRLW,_oo
7;O,ATTACKAIRLW,ATTACKAIRLW,_oo
8;O,ATTACKAIRLW,ATTACKAIRLW
9;O,ATTACKAIRLW,ATTACKAIRLW,_oo
10;O,ATTACKAIRLW,ATTACKAIRLW,10,00
11;oo,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
12;O,ATTACKAIRLW,ATTACKAIRLW,12,00
13;O,ATTACKAIRLW,ATTACKAIRLW,13,00
14;O,ATTACKAIRLW,ATTACKAIRLW,14,00
15;O,ATTACKAIRLW,ATTACKAIRLW,15,00
16;O,ATTACKAIRLW,ATTACKAIRLW,1b,00
17;O,ATTACKAIRLW,ATTACKAIRLW,17,00
18;O,ATTACKAIRLW,ATTACKAIRLW,16,00
19;oop!,MAMIVADVLIV,MIMIVADVLLIV,O
20;oo"oe,MAMIVADVLIV,MIMIVADVLLIV,O
21;oo,le,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
22;O,ATTACKAIRLW,ATTACKAIRLW,e2_.oo
23;O,ATTACKAIRLW,ATTACKAIRLW,23,00
24;O,ATTACKAIRLW,ATTACKAIRLW,e4,oo
25;O,ATTACKAIRLW,ATTACKAIRLW,25,00
26;O,ATTACKAIRLW,ATTACKAIRLW,2b_00
27;O,ATTACKAIRLW,ATTACKAIRLW,e7,00
28;oo"B2,MAMIVADVLIV,MIMIVADVLLIV,O
29;00,"be,MAMIVADVLIV,MIMIVADVLLIV,O
30;00,"OE,MAMIVADVLIV,MIMIVADVLLIV,O
31;oo,1E,MIMIVADVLLIV,AMAWIVvASvLiLlvy,O
32;00,"2e,MAMIVADVLIV,MIMIVADVLLIV,O
33;00,"cE,MAMIVADVLIV,MIMIVADVLLIV,O
34;00",hE,MAMIVADVLLIV,MAMIVADVLIVv,O
35;O,ATTACKAIRLW,ATTACKAIRLW,35,00
36;O,ATTACKAIRLW,ATTACKAIRLW,3b,_00
37;oo,"ze,MIAMIVADVLLV,MAAIVaADVLLV,O
38;O,ATTACKAIRLW,ATTACKAIRLW,38,00
39;O,ATTACKAIRLW,ATTACKAIRLW,39,00
40;O,ATTACKAIRLW,ATTACKAIRLW,40,00
41;O,ATTACKAIRLW,ATTACKAIRLW,4!,oo
42;O,ATTACKAIRLW,ATTACKAIRLW,42,00
43;O,ATTACKAIRLW,ATTACKAIRLW,43,00
44;O,ATTACKAIRLW,ATTACKAIRLW,44,_00
45;O,ATTACKAIRLW,ATTACKAIRLW,4+S_00
46;O,ATTACKAIRLW,ATTACKAIRLW,+b_OO
47;oo"2h,MIAMIVADVLLV,MAAIVaADVLLV,O
48;O,ATTACKAIRLW,ATTACKAIRLW,46,00
