frame;text
1;oO,34!,eas,oo,LR
2;oO,34!,eas,LR
3;oO,34!,eas,LR
4;oO,34!,eas,_oo,LR
5;oO,34!,eas,LR
6;oO,34!,eas,_oo,LR
7;oO,342,25b,LR
8;oO,342,25b,oo,LR
9;oO,342,25b,LR
10;oO,342,25b,LR
11;oO,342,25b,_oo,LR
12;oO,342,25b,LR
13;oO,342,25b,_oo,LR
14;oO,342,25b,_oo,LR
15;oO,342,25b,LR
16;oO,342,25b,_oo,LR
17;oO,342,296,10,00,LR
18;oO,342,29b,11.00,LR
19;oO,342,296,12,00,LR
20;oO,342,296,13,00,LR
21;oO,342,296,14,00,LR
22;oO,342,296,1S.00,LR
23;oO,342,296,Ib,0O,=LR
24;oO,342,296,17,00,LR
25;oO,342,296,18,00,LR
26;oO,342,29b,19,00,LR
27;oO,342,25b,20,00,LR
28;oO,342,296,21,00,LR
29;oO,342,25b,e2_.oo,LR
30;oO,342,25b,23,00,LR
31;oO,343,247,LR
32;oO,343,247,oo,LR
33;LR,oo,247,oO,343
34;oO,343,247,LR
35;oO,343,247,_oo,LR
36;oO,343,247,LR
37;oO,343,247,«*,_oo,LR
38;oO,343,247,_oo,LR
39;oO,343,247,LR
40;oO,343,247,_oo,LR
41;oO,343,297,10,00,LR
42;oO,343,247,11.00,LR
43;oO,343,297,12,00,LR
44;oO,343,297,13,00,LR
45;oO,343,2a?,14%,00,LR
46;oO,343,297,1S.00,LR
47;oO,343,297,Ib,0O,=LR
48;oO,343,2a?,17,00,LR
49;oO,343,297,18,00,LR
50;oO,343,2a?,19,00,LR
51;oO,343,ea7,20,00,LR
52;oO,343,297,21,00,LR
53;oO,343,ea7,e2_.oo,LR
54;oO,343,ea7,23,00,LR
55;oO,343,297,24.00,LR
56;oO,343,ea7,25,00,LR
