frame;text
1;Oo,353,307,oo,LR
2;Oo,353,307,LR
3;Oo,353,307,LR
4;Oo,353,307,_oo,LR
5;Oo,353,307,LR
6;Oo,353,307,_oo,LR
7;Oo,353,307,_oo,LR
8;Oo,353,307,LR
9;Oo,353,307,_oo,LR
10;oO,353,307,10,00,LR
11;O,353,307,11,00,LR
12;oO,353,307,12,00,LR
13;oO,353,307,13,00,LR
14;Oo,353,307,14,00,LR
15;Oo,353
16;oO,353,307,Ib,0O,=LR
17;oO,353,307,17,00,LR
18;oO,353,307,18,00,LR
19;oO,353,307,19,00,LR
20;Oo,353,307,20,00,LR
21;Oo,353,307,21,00,LR
22;Oo,353,307,e2_.oo,LR
23;Oo,353
24;Oo,353,307,24,00,LR
25;Oo,353,307
26;Oo,353,307,2b_00,LR
27;Oo,353,307,27,00,LR
28;Oo,353,307,28,00,LR
29;Oo,353
30;Oo,353,307,30,00,LR
31;Oo,353,307,31,00,LR
32;Oo,353,307,32,00,LR
33;Oo,353,307,33,00,LR
34;Oo,353
35;Oo,353,307,35,00,LR
36;Oo,353,307,3b,_00,LR
37;Oo,353,307,37,00,LR
38;Oo,353,307,38,00,LR
39;Oo,353,307,39,00,LR
40;oO,353,307,40,00,LR
41;oO,353,307,41,00,LR
42;Oo,353,307,42_00,LR
43;O,35b,309
44;O,35b,309,_oo
45;O,35b,309,2,00
46;O,35b,309,3,00
47;O,35b,309,4_o00
48;O,35b,309,s_,oo
49;O,35b,309,b_oo
50;O,35b,309,.oo
51;oo,309,O,35b
52;O,35b,309,.oo
53;O,35b,309,10,00
54;O,35b,309,11,00
55;O,35b,309,12,00
56;O,35b,309,13,00
57;O,35b,309,14,00
58;O,35b,309,1S_o00
59;O,35b,309,Ib,00
60;O,3S5b,309,17,00
61;O,35b,309,18,00
62;O,3S5b,309,19_00
63;O,35b,309,20,00
64;O,35b
65;oo,oO,358
66;oO,358,oo
67;oO,358,_oo
68;oO,358
69;oO,358,_oo
70;oO,358
71;oO,358,_oo
72;oo,oO,358
73;oO,358
74;oo,oO,358,s,°
75;o,358,Bi,10,00
76;o,358,Bi,11,00
77;o,358,Bi,12,00
78;o,358,Bi,13,00
79;o,358,Bi,14,00
80;o,358,Bi,1S_o00
81;o,358,Bi,1b,,00
82;o,358,Bi,17,00
83;o,358,Bi,18,00
