frame;text
1;O,EXCAPEAIR,ESCAPEAIR,oo
2;O,EXCAPEAIR,ESCAPEAIR
3;O,EXCAPEAIR,ESCAPEAIR
4;O,EXCAPEAIR,ESCAPEAIR,_oo
5;O,EXCAPEAIR,ESCAPEAIR
6;O,EXCAPEAIR,ESCAPEAIR,_oo
7;O,EXCAPEAIR,ESCAPEAIR,_oo
8;O,EXCAPEAIR,ESCAPEAIR
9;O,EXCAPEAIR,ESCAPEAIR,_oo
10;O,EXCAPEAIR,ESCAPEAIR,10,00
11;O,EXCAPEAIR,ESCAPEAIR,oo
12;O,EXCAPEAIR,ESCAPEAIR,12,00
13;O,EXCAPEAIR,ESCAPEAIR,13,00
14;O,EXCAPEAIR,ESCAPEAIR,14,00
15;O,EXCAPEAIR,ESCAPEAIR,15,00
16;O,EXCAPEAIR,ESCAPEAIR,1b,00
17;O,EXCAPEAIR,ESCAPEAIR,17,00
18;O,EXCAPEAIR,ESCAPEAIR,16,00
19;O,EXCAPEAIR,ESCAPEAIR,19,00
20;O,EXCAPEAIR,ESCAPEAIR,20,00
21;O,EXCAPEAIR,ESCAPEAIR,el,_oo
22;O,EXCAPEAIR,ESCAPEAIR,e2_.oo
23;O,EXCAPEAIR,ESCAPEAIR,23,00
24;O,EXCAPEAIR,ESCAPEAIR,e4,oo
25;O,EXCAPEAIR,ESCAPEAIR,25,00
26;O,EXCAPEAIR,ESCAPEAIR,2b_00
27;O,EXCAPEAIR,ESCAPEAIR,e7,00
28;O,EXCAPEAIR,ESCAPEAIR,28,00
29;O,EXCAPEAIR,ESCAPEAIR,29,00
30;O,EXCAPEAIR,ESCAPEAIR,30,00
31;O,EXCAPEAIR,ESCAPEAIR,31,_oo
32;O,EXCAPEAIR,ESCAPEAIR,32,00
33;O,EXCAPEAIR,ESCAPEAIR,33,00
34;O,EXCAPEAIR,ESCAPEAIR,34,_o00
35;O,EXCAPEAIR,ESCAPEAIR,35,00
36;O,EXCAPEAIR,ESCAPEAIR,3b,_00,cy
37;O,EXCAPEAIR,ESCAPEAIR,37,00
38;O,EXCAPEAIR,ESCAPEAIR,38,00
39;O,EXCAPEAIR,ESCAPEAIR,39,00
40;O,EXCAPEAIR,ESCAPEAIR,40,00
41;O,EXCAPEAIR,ESCAPEAIR,4!,oo
42;O,EXCAPEAIR,ESCAPEAIR,42,00
43;O,EXCAPEAIR,ESCAPEAIR,43,00
44;O,EXCAPEAIR,ESCAPEAIR,44,_00
45;O,EXCAPEAIR,ESCAPEAIR,4+S_00
46;O,EXCAPEAIR,ESCAPEAIR,+b_OO
47;O,EXCAPEAIR,ESCAPEAIR,47,00
48;O,EXCAPEAIR,ESCAPEAIR,46,00
