frame;text
1;oO,344,278,oo
2;oO,344,278
3;oO,344,278
4;oO,344,278,_oo
5;oO,34S,2a9
6;oO,34S,2a9,oo
7;oO,34S,2a9
8;oO,34S,2a9
9;oO,34S,2a9,_oo
10;oO,34s,299,s_oo
11;oO,34s,299,b_oo
12;oO,34s,2eag,7,00
13;oO,34s,299,8,00
14;oO,34s,2eag,9,00
15;oo,300,Oo,34b
16;Oo,34b,_oo
17;o,34b
18;Oo,34b,300,_oo
19;Oo,34b,300,_oo
20;Oo,34b
21;Oo,34b,300,_oo
22;Oo,34b,300,_oo
23;Oo,34b,300,_oo
24;Oo,34b,300,_oo
25;Oo,34b,300,10,00
26;Oo,34b,300,oo
27;Oo,34b,300,12,00
28;Oo,34b,300,13,00
29;Oo,34b,300,14,00
30;Oo,34b,300,15,00
31;Oo,34b,300,1b,00
32;Oo,34b,300,17,00
33;Oo,34b,300,16,00
34;Oo,34b,300,19,00
35;Oo,34b,300,20,00
