frame;text
1;o,350,304,oo,LR
2;o,350,304,LR
3;o,350,304,LR
4;o,350,304,_oo,LR
5;o,350,304,LR
6;o,350,304,_oo,LR
7;
8;o,350,304,_oo,LR
9;o,350,304,_oo,LR
10;o,350,304,10,00,LR
11;Oo,350,304,11.00,LR
12;o,350,304,12,00,LR
13;o,350,304,13,00,LR
14;o,350,LR
15;o,350,304,1S.00,LR
16;o,350,304,Ib,0O,=LR
17;o,350,304,17,00,LR
18;o,350,304,18,00,LR
19;o,350,304,19.00,LR
20;oO,35!,30S
21;oO,35!,30S,oo
22;oO,35!,30S
23;oO,35!,30S
24;oO,352,30b
25;oO,352,30b,oo
26;oO,352,30b
27;oO,352,30b
28;oO,352,30b,_oo
29;oO,352,30b
30;oO,352,30b,_oo
31;oO,352,30b,_oo
32;oO,352,30b
33;oO,352,30b,_oo
34;oO,352,30b,10,00
35;oO,352,30b,oo
36;oO,352,30b,12,00
37;oO,352,30b,13,00
38;oO,352,30b,14,00
39;oO,352,30b,15,00
40;oO,352,30b,1b,00
41;oO,352,30b,17,00
42;oO,352,30b,16,00
43;oO,352,30b,19,00
44;oO,352,30b,20,00
45;oO,352,30b,el,_oo
46;oO,352,30b,e2_.oo
47;oO,352,30b,23,00
48;oO,352,30b,e+,oo
49;oO,352,30b,25,00
50;oO,352,30b,2b_00
51;oO,352,30b,27,00
52;oO,352,30b,28,00
53;oO,352,30b,29,00
54;oO,352,30b,30,00
55;oO,352,30b,_oo
56;oO,352,30b,32,00
57;oO,352,30b,33,00
58;oO,352,30b,34,O00
59;oO,352,30b,35,00
60;oO,352,30b,3b,_00
61;oO,352,30b,37,00
62;oO,352,30b,38,00
