frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;O,ATTACKDASH,ATTACKDASH
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,_oo
7;O,ATTACKDASH,ATTACKDASH,_oo
8;O,ATTACKDASH,ATTACKDASH
9;O,ATTACKDASH,ATTACKDASH,_oo
10;O,ATTACKDASH,ATTACKDASH,10,00
11;O,ATTACKDASH,ATTACKDASH,oo
12;O,ATTACKDASH,ATTACKDASH,12,00
13;O,ATTACKDASH,ATTACKDASH,13,00
14;O,ATTACKDASH,ATTACKDASH,14,00
15;O,ATTACKDASH,ATTACKDASH,15,00
16;O,ATTACKDASH,ATTACKDASH,1b,00
17;O,ATTACKDASH,ATTACKDASH,17,00
18;O,ATTACKDASH,ATTACKDASH,16,00
19;O,ATTACKDASH,ATTACKDASH,19,00
20;oo"oe,HS,Vda,9DVLIV,HSvdxaovLiv,O
21;O,ATTACKDASH,ATTACKDASH,el,_oo
22;oo"ze,HS,Vda,9DVLIV,HSvdxaovLiv,O
23;oo"cea,HS,Vda,9DVLIV,HSvdxaovLiv,O
24;00",2,HS,Vda,DVLLIV,HSvdyovilv,O
25;oo"sa,HS,Vda,9DVLIV,HSvdxaovLiv,O
26;oo,"92,HS,Vda,DVLLIV,HSvdyovilv,O
27;O,ATTACKDASH,ATTACKDASH,e7,00
28;O,ATTACKDASH,ATTACKDASH,28_00
29;00,"be,HS,Vda,9DVLIV,HSvdxaovLiv,O
30;00,"OE,HS,Vda,9DVLIV,HSvdxaovLiv,O
31;O,ATTACKDASH,ATTACKDASH,31,_oo
32;00,"2e,HS,Vda,9DVLIV,HSvdxaovLiv,O
33;00,"cE,HS,Vda,9DVLIV,HSvdxaovLiv,O
34;00",hE,HS,Vda,DVLLIV,HSvdyovilv,O
35;O,ATTACKDASH,ATTACKDASH,3s_o00
36;O,WALKSLOW,WALKSLOW,oo
37;O,WALKSLOW,WALKSLOW
38;O,WALKSLOW,WALKSLOW,.73
