frame;text
1;O,ATTACKAIRF,ATTACKAIRE,oo
2;O,ATTACKAIRF,ATTACKAIRE
3;O,ATTACKAIRF,ATTACKAIRE
4;O,ATTACKAIRF,ATTACKAIRE,_oo
5;O,ATTACKAIRF,ATTACKAIRE
6;O,ATTACKAIRF,ATTACKAIRE,_oo
7;O,ATTACKAIRF,ATTACKAIRE,_oo
8;O,ATTACKAIRF,ATTACKAIRE
9;O,ATTACKAIRF,ATTACKAIRE,_oo
10;O,ATTACKAIRF,ATTACKAIRE,10,00
11;O,ATTACKAIRF,ATTACKAIRE,oo
12;O,ATTACKAIRF,ATTACKAIRE,12,00
13;O,ATTACKAIRF,ATTACKAIRE,13,00
14;O,ATTACKAIRF,ATTACKAIRFE,14,00
15;O,ATTACKAIRF,ATTACKAIRE,15,00
16;O,ATTACKAIRF,ATTACKAIRE,1b,00
17;O,ATTACKAIRF,ATTACKAIRE,17,00
18;O,ATTACKAIRF,ATTACKAIRF,16,00
19;O,ATTACKAIRF,ATTACKAIRE,19,00
20;O,ATTACKAIRF,ATTACKAIRF,20,00
21;O,ATTACKAIRF,ATTACKAIRE,el,_oo
22;oo"ze,JSULVADVLLV,JMIVADVLIV,O
23;oo"cea,JSULVADVLLV,JMIVADVLIV,O
24;00",2,JMNIVADVLIV,JuIVaDVLIV,oO
25;oo"sa,JSULVADVLLV,JMIVADVLIV,O
26;O,ATTACKAIRF,ATTACKAIRE,2b_00
27;oo"2ea,JSULVADVLLV,JMIVADVLIV,O
28;oo"B2,JSULVADVLLV,JMIVADVLIV,O
29;00,"be,JSULVADVLLV,JMIVADVLIV,O
30;O,ATTACKAIRF,ATTACKAIRE,30,00
31;O,ATTACKAIRF,ATTACKAIRE,31,_oo
32;00,"2e,JMIVADVLLV,JMIVaDVLIv,oO
33;O,ATTACKAIRF,ATTACKAIRE,33,00
34;O,ATTACKAIRF,ATTACKAIRE,34,_o00
35;O,ATTACKAIRF,ATTACKAIRE,35,00
36;O,ATTACKAIRF,ATTACKAIRE,3b,_00
37;oo,"ze,JMIVADVLLV,JMIVaDVLIv,oO
38;O,ATTACKAIRF,ATTACKAIRF,38,00
39;O,ATTACKAIRF,ATTACKAIRE,39,00
40;O,ATTACKAIRF,ATTACKAIRE,40,00
41;O,ATTACKAIRF,ATTACKAIRE,4!,oo
42;O,ATTACKAIRF,ATTACKAIRE,42,00
43;O,ATTACKAIRF,ATTACKAIRE,43,00
44;O,ATTACKAIRF,ATTACKAIRFE,44,_00
45;O,ATTACKAIRF,ATTACKAIRE,4+S_00
46;oo"94,JSULVADVLLV,JMIVADVLIV,O
47;oo"2h,JSULVADVLLV,JMIVADVLIV,O
48;oo"Bh,JSULVADVLLV,JMIVADVLIV,O
49;OO"br,JSULVADVLLV,JMIVADVLIV,O
50;oo"os,JSULVADVLLV,JMIVADVLIV,O
51;O,ATTACKAIRF,ATTACKAIRE,si,_oo
52;oo"es,JSULVADVLLV,JMIVADVLIV,O
53;O,ATTACKAIRF,ATTACKAIRF,$3,000
54;O,ATTACKAIRF,ATTACKAIRF,s4¥_o0o
55;O,ATTACKAIRF,ATTACKAIRF,ss_oo
56;O,ATTACKAIRF,ATTACKAIRF,Sb_oOo
57;O,ATTACKAIRF,ATTACKAIRF,s7_o00
58;O,ATTACKAIRF,ATTACKAIRF,s6_.o00
