frame;text
1;oO,34!,eas,oo,LR
2;oO,34!,eas,LR
3;oO,34!,eas,LR
4;oO,34!,eas,_oo,LR
5;oO,34!,eas,LR
6;oO,34!,eas,_oo,LR
7;oO,342,25b,LR
8;oO,342,25b,oo,LR
9;oO,342,25b,LR
10;oO,342,25b,LR
11;oO,342,25b,_oo,LR
12;oO,342,25b,LR
13;oO,342,296,b_oo,LR
14;oO,342,296,7,00,LR
15;oO,342,29b
16;P|,T,fu,oO,342
17;oO,343,247,LR
18;oO,343,247,oo,LR
19;LR,oo,247,oO,343
20;oO,343,247,LR
21;oO,343,247,_oo,LR
22;
23;
24;
25;o,343,is,247,re,_oo,LR
26;oO,343,247,**,_oo,LR
27;oO,343,297,10,00,LR
28;oO,343,247,11.00,LR,=
29;oO,343,297,12,00,LR
30;oO,343,297,13,00,LR
31;oO,343,2a?,14%,00,LR
32;oO,343,297,1S.00,LR
33;oO,343,297,Ib,0O,=LR
34;oO,343,2a?,17,00,LR
35;oO,343,297,18,00,LR
