frame;text
1;Oo,347,301,oo,LR
2;Oo,347,301,LR
3;oO,347,301,3.00,LR
4;Oo,347,301,4_o00,LR
5;
6;
7;oO,347,301,7,00,LR
8;Oo,347,301,LR
9;Oo,347,301,_oo,LR
10;oO,347,301,10,00,LR
11;Oo,347,301,11.00,LR
12;oO,347,301,12,00,LR
13;oO,347,301,13,00,LR
14;oO,347,301,14.00,LR
15;oO,347,301,15.00,LR
16;oO,347,301,1b.00,LR
17;oO,347,301,17,00,LR
18;oO,347,301,18,00,LR
19;oO,347,301,19,00,LR
20;Oo,348,302
21;Oo,348,_oo
22;o,348
23;
24;Oo,3494,303
25;Oo,3494,303,oo
26;Oo,3494,303
27;Oo,3494,303
28;Oo,3494,303,_oo
29;Oo,3494,303
30;Oo,3494,303,_oo
31;Oo,3494,303,_oo
32;Oo,3494,303
33;Oo,3494,303,_oo
34;Oo,3494,303,10,00
35;Oo,3494,303
36;Oo,3494,303,12,00
37;Oo,3494,303,13,00
38;La,o,349,303,14,00
39;Oo,3494,303,15,00
40;o,349,303,1b,,00
41;La,o,349,303,17,00
42;Oo,3494,303,16,00
43;La,o,349,303,19,00
44;o,349,303,20_00
45;Oo,3494,303,el,_oo
46;o,349,303,22_00
47;o,349,303,23_00
48;o,349,303,24,00
49;o,349,303,2s_o0
50;o,3449,303,2b_00
51;o,349,303,27,00
52;o,349,303,28_00
53;o,349,303,29_00
54;o,349,303,30,00
55;Oo,3494,303,31,_oo
56;o,349,303,32,00
57;o,349,303,33,00
58;o,349,303,34,oo
59;o,349,303,3s_o00
60;Oo,3494,303,3b,,00,L
61;Oo,3494,303,37,00,L
62;o,349,303,38,00
