frame;text
1;O,EXCAPE,ESCAPEN,oo,LR
2;O,EXCAPE,ESCAPEN,oo,LR
3;O,EXCAPE,ESCAPEN,LR
4;O,EXCAPE,ESCAPEN,LR
5;O,EXCAPE,ESCAPEN,_oo,LR
6;O,EXCAPE,ESCAPEN,LR
7;O,EXCAPE,ESCAPEN,_oo,LR
8;O,EXCAPE,ESCAPEN,_oo,LR
9;O,EXCAPE,ESCAPEN,LR
10;O,EXCAPE,ESCAPEN,_oo,LR
11;O,EXCAPE,ESCAPEN,10,00,LR
12;O,EXCAPE,ESCAPEN,11.00,LR,4
13;O,EXCAPE,ESCAPEN,12,00,LR,<<
14;O,EXCAPE,ESCAPEN,13,00,LR,«
15;O,EXCAPE,ESCAPEN,14,00,LR,pe
16;O,EXCAPE,ESCAPEN,15,00,LR
17;O,EXCAPE,ESCAPEN,1b,00,LR
18;O,EXCAPE,ESCAPEN,17,00,LR
19;O,EXCAPE,ESCAPEN,16,00,LR
20;O,EXCAPE,ESCAPEN,19,00,LR
21;O,EXCAPE,ESCAPEN,20,00,LR
