frame;text
1;Oo,353,307,oo,LR
2;Oo,353,307,LR
3;Oo,353,307,LR
4;Oo,353,307,_oo,LR
5;Oo,353,307,LR
6;Oo,353,307,_oo,LR
7;Oo,353,307,_oo,LR
8;Oo,353,307,_oo,LR
9;Oo,353,307,_oo,LR
10;oO,353,307,10,00,LR
11;0,353,307,11,00,LR
12;oO,353,307,12,00,LR
13;Oo,353,307,13,00,LR
14;
15;Oo,353,307,1S_o00,LR
16;Oo,353,307,1b,,00,LR
17;oO,353,307,17,00,LR
18;oO,353,307,18,00,LR
19;oO,353,307,19,00,LR
20;Oo,353,307,20,00,LR
21;Oo,353,307,21,00,LR
22;Oo,353,307,e2_.oo,LR
23;Oo,353,23_00,LR
24;Oo,353,307,e4,oo,LR
25;o,353,307,.,a,2s5_00,LR
26;Oo,353,307,4,2b_00,LR
27;m,ui,m,Qo
28;Oo,353,28,00,LR
29;Oo,353,LR
30;Oo,353,307,he,30,00,LR,J
31;Oo,353
32;Oo,353,307,32,00,LR
33;Oo,353,307,33,00,LR
34;Oo,353
35;Oo,353
36;Oo,353,LR
37;Oo,353
38;oO,353,307,“,38,00,LR
39;Oo,353,307,39,00,LR
40;Oo,353,307,40_00,LR
41;Oo,353,4!,oo,LR
42;oO,353,307,42,00,LR
43;O,35b,309
44;O,35b,309,oo
45;O,35b,309,2,00
46;O,35b,309,3,00
47;O,35b,309,4_o00
48;O,35b,309,s_,oo
49;O,35b,309,b_oo
50;O,35b,309,.oo
51;O,35b,309
52;
53;O,35b,309,10,00
54;O,35b,309,11,00
55;O,35b,309,12,00
56;O,35b,309,13,00
57;O,35b,309,14,00
58;O,35b,309,1S_o00
59;O,35b,309,Ib,OO
60;O,3S5b,309,17,00
61;O,35b,309,18,00
62;O,3S5b,309,19_00
63;O,35b,309,20,00
64;O,35b,309,21,00
65;O,35b,309,e2_.oo
66;O,35b,309,23,00
67;O,35b,309,24,00
68;O,35b,309,25,00
69;3Sb,309,2b_00
70;O,35b,309,27,00
71;O,35b,309,268,00
72;
73;oO,358
74;oO,358,_oo
75;oO,358
76;oO,358
77;oO,358,_oo
78;oO,358
79;oO,358
80;oO,358,_oo
81;oO,358
82;oO,358
83;o,358,Bi,10,00
84;oO,358,oo
85;o,358,Bi,12,00
86;o,358,Bi,13,00
87;o,358,Bi,14,00
88;o,358,Bi,1S_o00
89;o,358,Bi,1b,,00
90;o,358,Bi,17,00
91;o,358,Bi,18,00
