frame;text
1;O,ATTACKHIS3Z,ATTACKHI3,oo
2;O,ATTACKHIS3Z,ATTACKHI3
3;O,ATTACKHIS3Z,ATTACKHI3
4;O,ATTACKHIS3Z,ATTACKHI3,_oo
5;O,ATTACKHIS,ATTACKHI3
6;O,ATTACKHIS,ATTACKHI3,_oo
7;O,ATTACKHIS,ATTACKHI3,_oo
8;O,ATTACKHIS,ATTACKHI3
9;O,ATTACKHIS,ATTACKHI3,_oo
10;O,ATTACKHIS,ATTACKHI3,10,00
11;O,ATTACKHIS,ATTACKHI3,oo,L
12;O,ATTACKHIS,ATTACKHI3,12,00
13;O,ATTACKHIS,ATTACKHI3,13,00
14;O,ATTACKHIS3Z,ATTACKHI3,14,00,L
15;O,ATTACKHIS,ATTACKHI3,15,00
16;O,ATTACKHIS3Z,ATTACKHI3,1b,,00,L
17;O,ATTACKHIS3Z,ATTACKHI3,17,00,L
18;O,ATTACKHIS,ATTACKHI3,16,00
19;O,ATTACKHIS3Z,ATTACKHI3,19,00,L
20;O,ATTACKHIS,ATTACKHI3,20,00
21;O,ATTACKHIS3Z,ATTACKHI3,el,_oo,L
22;O,ATTACKHIS,ATTACKHI3,e2_.oo
