frame;text
1;O,ATTACKS4S,ATTACKS4S,oo
2;O,ATTACKS4S,ATTACKS4S,oo
3;O,ATTACKS4S,ATTACKS4#S
4;O,ATTACKS4S,ATTACKS4#S
5;O,ATTACKS4S,ATTACKS4#S,_oo
6;O,ATTACKS4S,ATTACKS4S
7;O,ATTACKS4S,ATTACKS4S,_oo
8;O,ATTACKS4S,ATTACKS4S,_oo
9;O,ATTACKS4S,ATTACKS4S
10;O,ATTACKS4S,ATTACKS4S,_oo
11;O,ATTACKS4S,ATTACKS4S,10,00
12;O,ATTACKS4S,ATTACKS4#S,oo
13;O,ATTACKS4S,ATTACKS4S,12,00
14;O,ATTACKS4S,ATTACKS4S,13,00
15;O,ATTACKS4S,ATTACKS#S,14,00
16;O,ATTACKS4S,ATTACKS4S,1S_o00
17;O,ATTACKS4S,ATTACKS4S,1b,00
18;O,ATTACKS4S,ATTACKS4#S,17,00
19;O,ATTACKS4S,ATTACKS4S,18,00
20;O,ATTACKS4S,ATTACKS4S,19,00
21;O,ATTACKS4S,ATTACKS4S,20,00
22;oo"12,SHSADVLIV,ShSADViLv,Oo
23;O,ATTACKS4S,ATTACKS4S,e2_.oo
24;O,ATTACKS4S,ATTACKS4S,23,00
25;O,ATTACKS4S,ATTACKS4S,24,00
26;O,ATTACKS4S,ATTACKS4S,25,00
27;O,ATTACKS4S,ATTACKS4S,2b_00
28;O,ATTACKS4S,ATTACKS4S,27,00
29;O,ATTACKS4S,ATTACKS4S,28,00
30;O,ATTACKS4S,ATTACKS4S,29_00
31;O,ATTACKS4S,ATTACKS4S,30,00
32;O,ATTACKS4S,ATTACKS4S,31,_oo
33;O,ATTACKS4S,ATTACKS4S,32,00
34;O,ATTACKS4S,ATTACKS4S,33,00
35;O,ATTACKS4S,ATTACKS4S,34,oo
36;O,ATTACKS4S,ATTACKS4S,35,00
37;O,ATTACKS4S,ATTACKS4S,3b,_00
38;O,ATTACKS4S,ATTACKS4S,37,00
39;00,"BE,SHSHDVLLV,ShSaovilv,oO
