frame;text
1;Oo,359,oo
2;Oo,359
3;Oo,359
4;Oo,359,_oo
5;oo,313,Oo,359
6;oo,313,Oo,359
7;oo,Oo,359
8;Oo,359
9;Oo,359,_oo
10;o,359,313,10,00
11;Oo,359,oo
12;o,359,313,12,00
13;o,359,313,13,00
14;o,359,313,14,00
15;o,359,313,1S_o00
16;o,359,313,1b,,00
17;17,00,o,359,.
18;18,00
19;19,00
20;o,359,20_00
21;Oo,359
22;o,359,313,e2_.oo
23;o,359,23_00
24;Oo,360
25;
26;Oo,360,bO
27;Oo,360,.+O
28;Oo,360
29;oo,314%,Oo,360
30;60,314,Oo,360
31;bO,Oo,360
32;Q,+,Oo,360
33;Oo,360,20
34;Oo,360
35;Oo,360
36;Oo,360,_bo
37;oO,3b0,10,40
38;=),fu,Oo,360
39;_oo,12,Oo,360
40;12,Oo,360
41;_bo,Oo,360
42;4,40,Oo,360
43;20,iS,Oo,360
44;_oo,Ib,Oo,360
45;Oo,360,O,34,y,1b,,80
46;0,3b0,314,17,60
47;oO,3b0,B14,18,40
48;oO,3b0,B14,1920
49;Oo,360,314,20,00
50;20,80,314,Oo,360
51;Oo,360,314,el,_bo
52;oO,3b0,B14,22,40
53;Oo,360,314,23,20
54;oO,3b0,B14,24,00
55;oO,3b0,B14,2480
56;oO,3b0,B14,2S_b0
57;oO,3b0,B14,2b.40
