frame;text
1;oO,35!,30S,oo
2;oO,35!,30S
3;oO,35!,30S
4;oO,35!,30S,_oo
5;oO,35!,30S
6;oo,30S,oO,35!
7;oO,35!,30S,_oo
8;oO,35!,30S
9;oO,35!,30S,_oo
10;oO,3s!,305,10,00
11;oo,30S,oO,35!
12;oO,3s!,305,12,00
13;_oo,30S,oO,35!
14;oO,3s!,305,14,00
15;oO,3s!,305,15,00
16;oO,3s!,305,1b,00
17;oO,3s!,305,17,00
18;oO,3s!,305,16,00
19;oO,3s!,305,19,00
20;oO,3s!,305,20,00
21;oO,35!,30S,el,_oo
22;oO,3s!,305,e2_.oo
23;oO,3s!,305,23,00
24;oo,eu,30S,oO,35!
25;_oo,es,30S,oO,35!
26;oo,2b,30S,oO,35!
27;oO,3s!,305,27,00
28;oO,3s!,305,28,00
29;oO,3s!,305,29,00
30;oO,3s!,305,30,00
31;oO,35!,30S,_oo
32;oO,3s!,305,32,00
33;oO,3s!,305,33,00
34;oO,3s!,305,34,O00
35;oO,3s!,305,35,00
36;oO,3s!,305,3b,_00
37;oO,3s!,305,37,00
38;oO,3s!,305,38,00
39;oO,3s!,305,39,00
40;oO,3s!,305,40,00
41;oO,35!,30S,4!,oo
42;oO,3s!,305,42,00
43;oO,3s!,305,43,00
44;oO,3s!,305,44,O00
45;oO,3s!,305,4+S_00
46;oO,3s!,305,+b_OO
47;oO,3s!,305,47,00
48;oO,3s!,305,46,00
49;oO,3s!,305,49,00
50;oO,3s!,305,so_.o00
51;oO,35!,30S,ae,si,_oo
52;oO,3s!,305,se_oo
53;oO,3s!,305,$3,000
54;oO,3s!,305,s+,oo
55;oO,3s!,305,ss_oo
56;oO,3s!,305,Sb_oOo
57;351,30S,s?7_00
58;oO,3s!,305,s6_.o00
59;oO,3s!,305,s9,o00
60;oO,3s!,305,bO_oOO0
61;oO,35!,30S,BI,_oo
62;351,30S,b2_o00
63;oO,3s!,305,63,00
64;oO,3s!,305,bY,OO
65;oO,3s!,305,bS_oOo
66;oO,3s!,305,bb,_OO
67;oO,3s!,305,b7?_OO0
68;oO,3s!,305,be,oOo
69;oO,3s!,305,69,00
70;oO,3s!,305,70,00
71;oO,35!,30S,a,|,_oo
72;oO,3s!,305,72,00
73;oO,3s!,305,73,00
74;oO,3s!,305,74,OO
75;oO,3s!,305,75,00
76;oO,3s!,305,7b_,O00
77;oO,3s!,305,77,00
78;oO,3s!,305,78,00
