frame;text
1;O,ATTACKAIRG,ATTACKAIRG,oo
2;O,ATTACKAIRG,ATTACKAIRG
3;O,ATTACKAIRG,ATTACKAIRG
4;O,ATTACKAIRG,ATTACKAIRG,_oo
5;O,ATTACKAIRG,ATTACKAIRG
6;O,ATTACKAIRG,ATTACKAIRG,_oo
7;O,ATTACKAIRG,ATTACKAIRG,_oo
8;O,ATTACKAIRG,ATTACKAIRG
9;O,ATTACKAIRG,ATTACKAIRG,_oo
10;O,ATTACKAIRG,ATTACKAIRB,10,00
11;O,ATTACKAIRG,ATTACKAIRB,oo
12;O,ATTACKAIRG,ATTACKAIRB,12,00
13;O,ATTACKAIRG,ATTACKAIRB,13,00
14;oo"!,BULVADVLLV,BMIVaADVLIV,Oo
15;oo"s!,BULVADVLLV,BMIVaADVLIV,Oo
16;O,ATTACKAIRG,ATTACKAIRB,1b,00
17;oo".21,BULVADVLLV,BMIVaADVLIV,Oo
18;O,ATTACKAIRG,ATTACKAIRB,16,00
19;oop!,BULVADVLLV,BMIVaADVLIV,Oo
20;oo"oe,BULVADVLLV,BMIVaADVLIV,Oo
21;oo,le,BNMIVADVLIV,BNMIvaAovLiv,O
22;oo"ze,BULVADVLLV,BMIVaADVLIV,Oo
23;oo"cea,BULVADVLLV,BMIVaADVLIV,Oo
24;00",2,BYIVADVLIV,euIvaovilv,O
25;O,ATTACKAIRG,ATTACKAIRB,25,00
26;O,ATTACKAIRG,ATTACKAIRG,2b_00
27;O,ATTACKAIRG,ATTACKAIRG,e7,00
28;O,ATTACKAIRG,ATTACKAIRG,28,00
29;O,ATTACKAIRG,ATTACKAIRG,29,00
30;O,ATTACKAIRG,ATTACKAIRG,30,00
31;O,ATTACKAIRG,ATTACKAIRG,31,_oo
32;O,ATTACKAIRG,ATTACKAIRG,32,00
33;O,ATTACKAIRG,ATTACKAIRG,33,00
34;O,ATTACKAIRG,ATTACKAIRG,34,_o00
