frame;text
1;O,CATCHDASH,CATCHDASH
2;O,CATCHDASH,CATCHDASH,oo
3;O,CATCHDASH,CATCHDASH
4;O,CATCHDASH,CATCHDASH
5;O,CATCHDASH,CATCHDASH,_oo
6;O,CATCHDASH,CATCHDASH
7;O,CATCHDASH,CATCHDASH,_oo
8;O,CATCHDASH,CATCHDASH,_oo
9;O,CATCHDASH,CATCHDASH
10;O,CATCHDASH,CATCHDASH,_oo
11;O,CATCHDASH,CATCHDASH,10,00
12;O,CATCHDASH,CATCHDASH,oo
13;O,CATCHDASH,CATCHDASH,12,00
14;O,CATCHDASH,CATCHDASH,13,00
15;O,CATCHDASH,CATCHDASH,14,00
16;O,CATCHDASH,CATCHDASH,15,00
17;O,CATCHDASH,CATCHDASH,1b,00
18;O,CATCHDASH,CATCHDASH,17,00
19;oo"s!,HSVWdHDLV>,HSVdHDLV>,O
20;oop!,HSVWdHDLV>,HSVdHDLV>,O
21;oo"oe,HSVWdHDLV>,HSVdHDLV>,O
22;oo,le,HSVdHILVD,HSVdHOLv>D,O
23;O,CATCHDASH,CATCHDASH,e2_.oo
24;oo"cea,HSVWdHDLV>,HSVdHDLV>,O
25;00",2,HSVdHDLV>,HSVdHDLv>,Oo
26;oo"sa,HSVWdHDLV>,HSVdHDLV>,O
27;oo,"92,HSVdHDLV>,HSVdHDLv>,Oo
28;O,CATCHDASH,CATCHDASH,e7,00
29;O,CATCHDASH,CATCHDASH,28,00
30;O,CATCHDASH,CATCHDASH,29,00
31;O,CATCHDASH,CATCHDASH,30,00
32;O,CATCHDASH,CATCHDASH,31,_oo
33;O,CATCHDASH,CATCHDASH,32,00
34;O,CATCHDASH,CATCHDASH,33,00
35;O,CATCHDASH,CATCHDASH,34,_o00
36;O,CATCHDASH,CATCHDASH,35,00
37;O,CATCHDASH,CATCHDASH,3b,_00
38;O,CATCHDASH,CATCHDASH,37,00
39;O,CATCHDASH,CATCHDASH,38,00
