frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;oo,HS,Vda,oVLIV,HSvdaovliv,O
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,oo
7;oo,ATTACKDASH,O,ATTACKDASH
8;oo,ATTACKDASH,O,ATTACKDASH
9;O,ATTACKDASH,ATTACKDASH,_oo
10;oo"o1,HS,Vda,9DVLIV,HSvdxaovLiv,O
11;O,ATTACKDASH,ATTACKDASH,oo
12;oo"?!,HSVdaDVLIV,HSvdxaovLiv,O
13;oo"e!,HSVdaDVLIV,HSvdxaovLiv,O
14;oo"!,HSvd>>VLLIV,HSvdyovilv,O
15;O,ATTACKDASH,ATTACKDASH,15,00
16;oo"41,HSvd>>VLLIV,HSvdyovilv,O
17;O,ATTACKDASH,ATTACKDASH,17,00,oe
18;O,ATTACKDASH,ATTACKDASH,16,00
19;O,ATTACKDASH,ATTACKDASH,19,00
20;oo"oe,HSVdaDVLIV,HSvdxaovLiv,O
21;O,ATTACKDASH,ATTACKDASH,el,_oo
22;oo"ze,HSVdaDVLIV,HSvdxaovLiv,O
23;oo"cea,HSVdaDVLIV,HSvdxaovLiv,O
24;00",2,HSvd>>VLLIV,HSvdyovilv,O
25;oo"sa,HSVdaDVLIV,HSvdxaovLiv,O
26;oo,"92,HSvd>>VLLIV,HSVd>xDVLLIV
27;oo"2ea,HSVdaDVLIV,HSvdxaovLiv,O
28;oo"B2,HS,Vda,9DVLIV,HSvdxaovLiv,O
29;O,ATTACKDASH,ATTACKDASH,29,00
30;O,ATTACKDASH,ATTACKDASH,30,00
31;O,ATTACKDASH,ATTACKDASH,31,_oo
32;O,ATTACKDASH,ATTACKDASH,32,00
33;O,ATTACKDASH,ATTACKDASH,33,00
34;O,ATTACKDASH,ATTACKDASH,3400
35;O,ATTACKDASH,ATTACKDASH,3s_o00
36;O,ATTACKDASH,ATTACKDASH,3b,_00
37;oo,"ze,HS,Vda,3VLIV,HSvdxaovLiv,O
38;O,WALKMIDDLE,WALKMIDDLE,oo,LR
