frame;text
1;Oo,357,oo
2;oo,311,Oo,357
3;oO,357,Bit,3.00
4;oo,311,Oo,357
5;oO,357,Bit,s_oo
6;oO,357,Bit,b_oo
7;Oo,357,311,7,00
8;oO,357,Bit,8,00
9;Oo,357,_oo
10;oO,357,Bit,10,00
11;Oo,357,oo
12;oO,357,Bit,12,00
13;oO,357,Bit,13,00
14;oO,3s7,ait,14%,00
15;oO,357,Bit,1S_o00
16;oO,357,Bit,1b,,00
17;oO,3s7,ait,17,00
18;
19;
20;
21;a,3s7,ait,21,00
22;oO,357,Bit,22_00
23;oO,357,Bit,23_00
24;a,3s7,ait,2400
25;oO,357,Bit,2s_o0
26;oO,357,Bit,2b_00
27;o,7,3s,Bi,27,00
28;oO,357,Bit,28_00
29;oo,P|,311,Oo,357
30;oO,357,Bit,30,00
31;oo,31,311,Oo,357
32;oO,357,Bit,32,00
33;_oo,Oo,357
34;oO,357,Bit,34,oo
35;
36;oO,357,Bit,3b,,00
37;o,7,3s,Bi,37,00
38;oO,357,Bit,38,00
39;o,7,3s,Bi,39,00
40;
41;60,312,oO,358
42;bO,312,oO,358
43;oO,358,.+O
44;oO,358
45;oO,358,_oo
46;.60
47;oO,358,312
48;oO,358,.+O
49;20
50;
51;
52;_bo
53;oO,358,10,40,.,.,s,s,.,«8,.,.,.,.,2,soe,/,8,.,es,.,.,a,.,’,.,.,ba
54;20
55;12,00
56;oO,358,312,12,680
57;o,358,B12,13,60
58;o,358,B12,14,40
59;oO,358,312,1s,20
60;o,358,B12,1b,,00
61;o,358,B12,1b,80
62;o,358,B12,17,60
63;o,358,B12,18,40
64;o,358,B12,1920
65;oO,358,312,20,00,i,v
66;oO,358,312,20,80
67;oO,358,el,_bo
68;oO,358,312,ec_+o
69;oO,358,312,23,20
70;oO,358,312,e+,oo
71;oO,358,312,e+,680
72;oO,358,312,25,60
73;oO,358,312,2b,_,+0
74;oO,358,312,e720
75;oO,358,312,28,00
76;oO,358,312,28,80
