frame;text
1;O,ATTACKAIRF,ATTACKAIRF,oo
2;O,ATTACKAIRF,ATTACKAIRF
3;O,ATTACKAIRF,ATTACKAIRF
4;O,ATTACKAIRF,ATTACKAIRF,_oo
5;O,ATTACKAIRF,ATTACKAIRF
6;oo,SJMIVADVLIV,JMIVASVLIiv,O
7;O,ATTACKAIRF,ATTACKAIRE,_oo
8;O,ATTACKAIRF,ATTACKAIRE
9;O,ATTACKAIRF,ATTACKAIRE,_oo
10;oo"o1,JMIVADVLLV,JMIVaDVLIv,oO
11;O,ATTACKAIRF,ATTACKAIRE,oo
12;O,ATTACKAIRF,ATTACKAIRF,12,00
13;O,ATTACKAIRF,ATTACKAIRF,13,00
14;O,ATTACKAIRF,ATTACKAIRE,14,00
15;O,ATTACKAIRF,ATTACKAIRE,15,00
16;O,ATTACKAIRF,ATTACKAIRE,1b,00
17;O,ATTACKAIRF,ATTACKAIRE,17,00
18;O,ATTACKAIRF,ATTACKAIRE,16,00
19;O,ATTACKAIRF,ATTACKAIRE,19,00
20;O,ATTACKAIRF,ATTACKAIRE,20,00
21;O,ATTACKAIRF,ATTACKAIRE,el,_oo
22;oo"ze,JSULVADVLLV,JMIVADVLIV,O
23;O,ATTACKAIRF,ATTACKAIRE,23,00
24;O,ATTACKAIRF,ATTACKAIRF,e4,oo
25;O,ATTACKAIRF,ATTACKAIRF,25,00
26;O,ATTACKAIRF,ATTACKAIRF,2b_00
27;oo"2ea,JMIVADVLLV,JMIVaDVLIv,oO
28;oo"B2,JMIVADVLLV,JMIVaDVLIv,oO
29;O,ATTACKAIRF,ATTACKAIRE,29,00
30;O,ATTACKAIRF,ATTACKAIRE,30,00
31;O,ATTACKAIRF,ATTACKAIRE,31,_oo
32;00,"2e,JMIVADVLLV,JMIVaDVLIv,oO
33;O,ATTACKAIRF,ATTACKAIRE,33,00
34;O,ATTACKAIRF,ATTACKAIRE,34,_o00
35;O,ATTACKAIRF,ATTACKAIRF,35,00
36;O,ATTACKAIRF,ATTACKAIRF,3b,_00
37;O,ATTACKAIRF,ATTACKAIRF,37,00
38;O,ATTACKAIRF,ATTACKAIRF,38,00
39;O,ATTACKAIRF,ATTACKAIRF,39,00
40;O,ATTACKAIRF,ATTACKAIRF,40,00
41;O,ATTACKAIRF,ATTACKAIRF,4!,oo
42;O,ATTACKAIRF,ATTACKAIRF,42,00
43;O,ATTACKAIRF,ATTACKAIRF,43,00
