frame;text
1;O,CATCH,CATCH
2;O,CATCH,CATCH,oo
3;o,CATCH,CATCH,Ws,
4;O,CATCH,CATCH
5;O,CATCH,CATCH,_oo
6;O,CATCH,CATCH
7;O,CATCH,CATCH,_oo
8;O,CATCH,CATCH,_oo
9;O,CATCH,CATCH
10;O,CATCH,CATCH,_oo
11;O,CATCH,CATCH,10,00
12;oo,CATCH,O,CATCH
13;O,CATCH,CATCH,12,00
14;_oo,CATCH,O,CATCH
15;14,00,CATCH,O,CATCH
16;_oo,iS,CATCH,O,CATCH
17;Ib_Oo,CATCH,O,CATCH
18;CATCH,CATCH,17,00
19;168,00,CATCH,O,CATCH
20;O,CATCH,CATCH,19_00
21;_oo,20,CATCH,O,CATCH
22;O,CATCH,CATCH,el,_oo
23;O,CATCH,CATCH,22_00
24;O,CATCH,CATCH,23_00
25;O,CATCH,CATCH,24,00
26;O,CATCH,CATCH,2s_o0
27;O,CATCH,CATCH,2b_00
28;O,CATCH,CATCH,27,00
29;O,CATCH,CATCH,28_00
