frame;text
1;O,ATTACKII,ATTACKI,1,oo,LR
2;O,ATTACKII,ATTACKI,1,LR
3;O,ATTACKII,ATTACKI,1,LR
4;O,ATTACKII,ATTACKI,1,_oo,LR
5;O,ATTACKII,ATTACKI,1,LR
6;O,ATTACKII,ATTACKI,1,_oo,LR
7;O,ATTACKII,ATTACKI,1,_oo,LR
8;O,ATTACKII,ATTACKI,1,LR
9;O,ATTACKII,ATTACKI,1,_oo,LR
10;O,ATTACKII,ATTACKI,1,10,00,LR
11;O,ATTACKII,ATTACKI,1,oo,LR
12;O,ATTACKII,ATTACKI,1,12,00,LR
13;O,ATTACKII,ATTACKI,1,13,00,LR
14;O,ATTACKII,ATTACKI,1,14,00,LR
15;O,ATTACKII,ATTACKI,1,1S_o00,LR
16;O,ATTACKII,ATTACKI,1,1b,,00,LR
17;O,ATTACKII,ATTACKI,1,17,00,LR
18;O,ATTACKII,ATTACKI,1,18,00,LR
19;O,ATTACKII,ATTACKI,1,19,00,LR
20;O,ATTACKII,ATTACKII,20,00,LR
