frame;text
1;O,ATTACKAIRN,ATTACKAIRN,oo
2;O,ATTACKAIRN,ATTACKAIRN
3;O,ATTACKAIRN,ATTACKAIRN
4;oo,NMIVADVLIV,NMYIvaASVvLiv,O
5;oo,NMIVADVLIV,NMYIvaASVvLiv,O
6;oo,NMIVADVLIV,NMYIvaASVvLiv,O
7;oo,ATTACKAIRN,O,ATTACKAIRN
8;oo,ATTACKAIRN,O,ATTACKAIRN
9;oo,ATTACKAIRN,O,ATTACKAIRN
10;oo"o1,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
11;oo,NMIVADVLIV,NMYIvaASVvLiv,O
12;oo"?!,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
13;oo"e!,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
14;oo"!,NMIVADVLIV,NMYIvaASVvLiv,O
15;O,ATTACKAIRN,ATTACKAIRN,15,00
16;O,ATTACKAIRN,ATTACKAIRN,1b,00
17;O,ATTACKAIRN,ATTACKAIRN,17,00
18;O,ATTACKAIRN,ATTACKAIRN,16,00
19;O,ATTACKAIRN,ATTACKAIRN,19,00
20;O,ATTACKAIRN,ATTACKAIRN,20,00
21;O,ATTACKAIRN,ATTACKAIRN,el,_oo
22;O,ATTACKAIRN,ATTACKAIRN,e2_.oo
23;O,ATTACKAIRN,ATTACKAIRN,23,00
24;O,ATTACKAIRN,ATTACKAIRN,e4,oo
25;O,ATTACKAIRN,ATTACKAIRN,25,00
26;oo,"92,NYIVADVLLIV,NMYIVaOVLLvY,O
27;oo"2ea,NM,IVSDVLLV,NMYIVaADVLIV,Oo
28;O,ATTACKAIRN,ATTACKAIRN,28,00
29;00,"be,NM,IVSDVLLV,NMYIVaADVLIV,Oo
30;00,"OE,NM,IVSDVLLV,NMYIVaADVLIV,Oo
31;O,ATTACKAIRN,ATTACKAIRN,31,_oo
32;O,ATTACKAIRN,ATTACKAIRN,32,00
33;00,"cE,NM,IVSDVLLV,NMYIVaADVLIV,Oo
34;00",hE,NYIVADVLLIV,NMYIVaOVLLvY,O
35;00,"se,NY,LVAIDVLLV,NMYIVaADVLIV,Oo
36;00,"Se,NYIVADVLLIV,NMYIVaOVLLvY,O
37;O,ATTACKAIRN,ATTACKAIRN,37,00
38;O,ATTACKAIRN,ATTACKAIRN,38,00
39;O,ATTACKAIRN,ATTACKAIRN,39,00
40;O,ATTACKAIRN,ATTACKAIRN,40,00
41;O,ATTACKAIRN,ATTACKAIRN,4!,_oo
42;O,ATTACKAIRN,ATTACKAIRN,42,00
43;O,ATTACKAIRN,ATTACKAIRN,43,00
