frame;text
1;Oo,347,301,_oo
2;Oo,347,301
3;Oo,347,301
4;Oo,347,301,_oo
5;Oo,347,301
6;Oo,347,301,_oo
7;Oo,347,301,_oo
8;Oo,347,301
9;94,00,301,Oo,347
10;oO,347,301,10,00
11;Oo,347,301,oo
12;oO,347,301,12,00
13;oO,347,301,13,00
14;oO,347,301,14%,00
15;oO,347,301,1S_o00
16;oO,347,301,1b,,00
17;oO,347,301,17,00
18;oO,347,301,18,00
19;oO,347,301,19,00
20;
21;Oo,347,301,el,_oo
22;oO,347,301,22_00
23;oO,347,301,23_00
24;oO,347,301,24,00
25;oO,347,301,2s_o0
26;oO,347,301,2b_00
27;oO,347,301,27,00
28;oO,347,301,28_00
29;oO,347,301,29,00
30;oO,347,301,30,00
31;Oo,347,301,_oo
32;oO,347,301,32,00
33;oO,347,301,33,00
34;oO,347,301,34,oo
35;oO,347,301,3s_o00
36;oO,347,3b,,00
37;oO,347,37,00
38;oO,347,38,00
39;oO,347,39,00
40;oO,347,40_00
41;Oo,347,301,4!,oo
42;oO,347,301,42_00
43;oO,347,301,43,00
44;oO,347,301,4400
45;oO,347,301,4S_00
46;oO,347,301,4b_00
47;47,00,301,Oo,347
48;oO,347,301,48_00
49;oO,347,301,4900
50;oO,347,301,so_oo
51;oo,si,301,Oo,347
52;oO,347,301,s2_o00
53;oO,347,301,s3_00
54;oO,347,301,s4¥_o00
55;oO,347,301,ss_oo
56;oO,347,301,Sb_oo
57;oO,347,301,s7_o00
58;oO,347,301,se_oo
59;oO,347,301,s9_o0
60;oO,347,301,bo_oo
61;Oo,347,301,BI,_oo
62;oO,347,301,b2_o00
63;oO,347,301,b3_00
64;oO,347,301,bY,oo
65;oO,347,301,bS_oo
66;oO,347,301,bb_,oo
67;oO,347,301,b?_00
68;oO,347,301,be_,oo
69;oO,347,301,b9_00
70;oO,347,301,70,00
71;Oo,347,301,a,|,_oo
72;oO,347,301,72,00
73;oO,347,301,73,00
74;Oo,347,301,7400,L
75;oO,347,301,75,00
76;L
77;Oo,347
78;oO,347,301,78,00
79;Oo,347,301,79,00,L
80;oO,347,301,80_00
81;Oo,347,301,_oo,L
82;oO,347,301,82_00
83;oO,347,301,83_00
84;o,347,84,oo,L
85;as,,301,Oo,347
86;Oo,347,301,8b_o00,L
87;o,347,87_o00,L
88;oO,347,301,88_o00
89;oO,347,301,6900
90;oO,347,301,90,00
91;Oo,347,301,a1,_oo,L
92;oO,347,301,92,00
93;a3,,301,Oo,347
94;Oo,347,301,9400,L
95;oO,347,301,9s,00
96;oO,347,301,9b,oo,LR
97;Oo,347,301,97,00,LR
98;oO,347,301,98,00,LR
99;Oo,347,301,29,00,LR
100;oO,347,301,100,00,LR
101;LR,oo,1o1,301,Oo,347
102;oO,347,301,102,00,LR
103;Oo,347,301,103,00,LR
104;Oo,347,301,104%,00,LR
105;Oo,347,301,105,00,LR
106;Oo,347,301,106,00,LR
107;Oo,347,301,107,00,LR
108;Oo,347,301,108,00,LR
109;Oo,347,301,109,00,LR
110;Oo,347,301,110,00,LR
111;Oo,347,301,111,00,LR
112;Oo,347,301,112,00,LR
113;oO,347,301,113,00,LR
114;Oo,347,301,114.00,LR
115;Oo,347,301,115,00,LR
116;Oo,347,301,11b,00,LR
117;oO,347,301,117,00,LR
118;oO,347,301,118,00,LR
