frame;text
1;oo,303,o,349
2;Oo,3494,303
3;oo,303,Oo,3494
4;o,3449,303,_oo
5;o,349,303,s_oo
6;303,Oo,3494
7;o,349,303,7,00
8;o,349,303,8,00
9;Oo,3494,303,_oo
10;_oo,10,303,Oo,3494
11;La,o,349,303,11,00
12;Oo,3494,303,12,00
13;_oo,13,303,Oo,3494
14;_oo,14,303,Oo,3494
15;Oo,3494,303,15,00
16;o,349,303,1b,,00
17;La,o,349,303,17,00
18;Oo,3494,303,16,00
19;_oo,|,303,Oo,3494
20;_oo,20,303,Oo,3494
21;oo,ai,,303,Oo,3494
22;o,349,303,22_00
23;oo,23,,303,Oo,3494
24;oo,eu,303,Oo,3494
25;o,349,303,2s_o0
26;oo,2b,303,Oo,3494
27;o,349,303,27,00
28;_oo,28,303,Oo,3494
29;oo,P|,303,Oo,3494,»
30;_oo,30,303,Oo,3494
31;Oo,3494,303,_oo
32;_oo,32,303,Oo,3494
33;o,349,303,33,00
34;oo,34,303,Oo,3494
35;o,349,303,3s_o00
36;_oo,3b,303,Oo,3494
37;oo,a7,,303,Oo,3494
38;o,349,303,38,00
39;o,349,303,39,00
40;Oo,3494,303,40,00
41;La,o,349,303,41,00
42;Oo,3494,303,42,00
43;Oo,3494,303,43,00
44;La,o,349,303,4400
45;Oo,3494,303,4+S_00
46;o,349,303,4b_00
47;La,o,349,303,47,00
48;Oo,3494,303,46,00
49;La,o,349,303,4900
50;o,349,303,so_oo
51;Oo,3494,303,si,_oo
52;o,349,303,s2_o00
53;o,349,303,s3_00
54;o,349,303,s4¥_o00
55;o,349,303,ss_oo
56;o,3449,303,Sb,_,00
57;o,349,303,s?7_00
58;o,349,303,se_oo
59;o,349,303,s9_o00
60;o,3449,303,boO_oo
61;bi,,303,o,349
62;o,3449,303,be_oo
63;o,3449,303,b3_00
64;o,349,303,bY,oo
65;o,3449,303,bS_,oOo
66;o,3449,303,bb,_,oO
67;o,349,303,b?_00
68;o,3449,303,bs,oo
69;o,349,303,b9_00
70;Oo,3494,303,70,00
71;Oo,3494,303,a,|,_oo
72;Oo,3494,303,72,00
73;Oo,3494,303,73,00,LR
74;o,349,303,74.00,LR
75;LR,_oo,7S,303,Oo,3494
76;LR,_oo,Te,303,Oo,3494
77;o,349,303,77,00,LR
78;Oo,3494,303,78,00,LR
