frame;text
1;Oo,353,307,oo
2;oo,307,Oo,353
3;Oo,353,307,3,00
4;oO,353,307,4_o0
5;Oo,353,307,s_,oo
6;oo,307,Oo,353
7;oO,353,307,7,00
8;Oo,353,307,68,00
9;Oo,353,307,_oo
10;_oo,10,307,Oo,353
11;oo,307,Oo,353
12;_oo,12,307,Oo,353
13;oO,353,307,13,00
14;oO,353,307,14,00
15;oO,353,307,1S_o00
16;oO,353,307,1b,,00
17;oO,353,307,17,00
18;oO,353,307,18,00
19;_oo,|,307,Oo,353
20;Oo,353,307,20,00
21;Oo,353,307,el,_oo
22;Oo,353,307,e2_.oo
23;Oo,353,307,23,00
24;oo,eu,307,Oo,353
25;Oo,353,307,25,00
26;oo,2b,307,Oo,353
27;oo"2ea,20€,ESE,oO
28;_oo,28,307,Oo,353
29;Oo,353,307,29,00
30;00,"OE,20€,ESE,oO
31;Oo,353,307,oo
32;_oo,32,307,Oo,353
33;Oo,353,307,33,00
34;Oo,353,307,34,O00
35;Oo,353,307,3s,oo
36;Oo,353,307,3b,_00
37;oo,a7,307,Oo,353
38;Oo,353,307,38,00
39;Oo,353,307,39,00
40;oO,353,307,40_00,.,"ie,oe,‘,rn,a,-,7,tint,wie,oS,ad,.,s,.,“,.,ve,.,°.,*s,ve
41;Oo,353,307,4!,oo
42;oO,353,307,42_00,.,~,ee,ye,.,.,oa,,LJ,oe”,a,-,”,.,.,-,8,«©,s,:,:,.
43;oO,353,307,43,00
44;oO,353,307,4400
45;oO,353,307,4S_00
46;oO,353,307,4b_00
47;oO,353,307,47,00
48;oO,353,307,48_00
49;oO,353,307,4900
50;Oo,353,307,so_.o00
51;oo,si,,307,Oo,353
52;Oo,353,307,se_oo
53;Oo,353,307,$3,000
54;Oo,353,307,s+,oo
55;Oo,353,307,ss_oo
56;Oo,353,307,Sb_oOo
57;Oo,353,307,s7_o00
58;Oo,353,307,s6_.o00
59;Oo,353,307,s9,o00
60;Oo,353,307,bO_oOO0
61;Oo,353,307,BI,_oo
62;_oo,be,307,Oo,353
63;Oo,353,307,63,00
