frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;O,ATTACKDASH,ATTACKDASH
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,_oo
7;O,ATTACKDASH,ATTACKDASH,_oo
8;O,ATTACKDASH,*,ATTACKDASH,e
9;O,ATTACKDASH,ATTACKDASH,_oo
10;O,ATTACKDASH,ATTACKDASH,10,00
11;O,ATTACKDASH,ATTACKDASH,oo
12;O,ATTACKDASH,ATTACKDASH,12,00
13;O,ATTACKDASH,ATTACKDASH,13,00
14;O,ATTACKDASH,ATTACKDASH,14,00
15;O,ATTACKDASH,ATTACKDASH,15,00,7:
16;O,ATTACKDASH,ATTACKDASH,1b,,00
17;O,ATTACKDASH,ATTACKDASH,17,00
18;O,ATTACKDASH,ATTACKDASH,16,00
19;O,ATTACKDASH,ATTACKDASH,19,00
20;oo"oe,HS,Vda,9DVLIV,HSvdxaovLiv,O
21;O,ATTACKDASH,ATTACKDASH,el,_oo
22;O,ATTACKDASH,ATTACKDASH,22_00
23;O,ATTACKDASH,ATTACKDASH,23_00
24;O,ATTACKDASH,ATTACKDASH,2400
25;O,ATTACKDASH,ATTACKDASH,2s_o0
26;O,ATTACKDASH,ATTACKDASH,2b_00
27;O,ATTACKDASH,ATTACKDASH,e7,00
28;O,ATTACKDASH,ATTACKDASH,28_00
29;O,ATTACKDASH,ATTACKDASH,29,00
30;O,ATTACKDASH,ATTACKDASH,30,00
31;O,ATTACKDASH,ATTACKDASH,31,_oo
32;00,"2e,HS,Vda,9DVLIV,HSvdxaovLiv,O
33;00,"cE,HS,Vda,9DVLIV,HSvdxaovLiv,O
34;00",hE,HSvd>>VLLIV,HSvdyovilv,O
35;00,"se,HS,Vda,9DVLIV,HSvdxaovLiv,O
36;00,"Se,HS,Vda,DVLLIV,HSvdyovilv,O
37;oo,"ze,HS,Vda,9DVLIV,HSvdxaovLiv,O
38;00,"BE,HS,Vda,9DVLIV,HSvdxaovLiv,O
