frame;text
1;oO,37!,325,oo
2;oO,37!,325
3;oO,37!,325
4;oO,37!,325,_oo
5;oO,37!,325
6;oO,37!,325,_oo
7;oO,37!,325,_oo
8;oO,37!,325
9;oO,37!,325,_oo
10;oO,37!,325,10,00
11;oO,37!,325,oo
12;oO,37!,325,12,00
13;oO,37!,325,13,00
14;o,371,Bes,14,00
15;oO,37!,325,15,00
16;o,371,Bes,1b,,00
17;o,371,Bes,17,00
18;oO,37!,325,16,00
19;o,371,Bes,19,00
20;o,371,325,20_00
21;oO,37!,325,el,_oo
22;o,371,325,22_00
23;o,371,325,23_00
24;o,371,Bes,24,00
25;o,371,325,2s_o0
26;oO,37!,ges,2b_00
27;o,371,Bes,27,00
28;o,371,325,28_00
29;o,371,Bes,29_00
30;o,371,325,30,00
31;oO,37!,325,_oo
32;o,371,325,32,00
33;o,371,325,33,00
34;o,371,Bes,34,oo
35;o,371,325,3s_o00
36;oO,37!,ges,3b_,00
37;o,371,Bes,37,00
38;o,371,325,38,00
39;o,371,Bes,39,00
40;oO,37!,325,40,00
41;oO,37!,325,4!,oo
42;oO,37!,325,42,00
43;oO,37!,325,43,00
44;o,371,Bes,4400
45;oO,37!,325,4+S_00
46;o,371,Bes,4b_00
47;o,371,Bes,47,00
48;oO,37!,325,46,00
49;o,371,Bes,4900
50;o,371,325,so_oo
51;oO,37!,325,si,_oo
52;o,371,325,s2_o00
53;o,371,325,s3_00
54;o,371,Bes,s4¥_o00
55;o,371,325,ss_oo
56;oO,37!,ges,Sb,_,00
57;o,371,Bes,s?7_00
58;o,371,325,se_oo
59;o,371,Bes,s9_o00
60;oO,37!,ges,boO_oo
61;oO,37!,325,BI,_oo
62;oO,37!,ges,be_oo
63;oO,37!,ges,b3_00
64;o,371,Bes,bY,oo
65;oO,37!,ges,bS_,oOo
66;oO,37!,ges,bb,_,oO
67;o,371,Bes,b?_00
68;oO,37!,ges,bs,oo
69;o,371,Bes,b9_00
70;oO,37!,325,70,00
71;oO,37!,325,a,|,_oo
72;oO,37!,325,72,00
73;oO,37!,325,73,00
74;o,371,Bes,7400
75;oO,37!,325,75,00
76;o,371,Bes,76,00
77;o,371,Bes,77,00
78;oO,37!,325,78,00
79;o,371,Bes,79,00
80;o,371,325,80_00
81;oO,37!,325,_oo
82;o,371,325,82_00
83;o,371,325,83_00
84;o,371,Bes,84,oo
85;o,371,325,es_oo
86;oO,37!,ges,8b,,00
87;o,371,Bes,87_o00
88;o,371,325,88_o00
89;o,371,Bes,8900
90;oO,37!,325,90,00
91;oO,37!,325,a1,_oo
92;oO,37!,325,92,00
93;oO,37!,325,93,00
94;o,371,Bes,9400
95;oO,37!,325,35,00
96;o,371,Bes,9b,_00
97;o,371,Bes,97,00
98;oO,37!,325,26,00
99;o,371,Bes,9900
100;oO,37!,325,100,00
101;oO,37!,325,1o1,oo
102;oO,37!,325,102,00
103;oO,37!,325,103,00
104;o,371,Bes,104%,00
105;oO,37!,325,105,00
106;oO,37!,325,106,00
107;o,371,Bes,107,00
108;oO,37!,325,108,00
109;o,371,Bes,109,00
110;o,371,Bes,110,00
111;oO,37!,325,oo
112;o,371,Bes,112,00
113;o,371,Bes,113,00
114;o,371,Bes,11400
115;o,371,Bes,115,00
116;o,371,Bes,11b,oo
117;o,371,Bes,117,00
118;o,371,Bes,116,00
119;o,371,Bes,119,00
120;oO,37!,325,120,00
121;oO,37!,325,lel,oo
