frame;text
1;O,ATTACKLWS3,ATTACKLW3,oo
2;O,ATTACKLWS3,ATTACKLW3
3;O,ATTACKLWS3,ATTACKLW3
4;O,ATTACKLWS3,ATTACKLW3,_oo
5;O,ATTACKLWS3,ATTACKLW3
6;O,ATTACKLWS3,ATTACKLW3,_oo
7;O,ATTACKLWS3,ATTACKLW3,_oo
8;O,ATTACKLWS3,ATTACKLW3
9;O,ATTACKLWS3,ATTACKLW3,_oo
10;O,ATTACKLWS3,ATTACKLW3,10,00
11;O,ATTACKLWS3,ATTACKLW3,11.00
12;O,ATTACKLWS3,ATTACKLW3,12,00
13;O,ATTACKLWS3,ATTACKLW3,13,00
14;O,ATTACKLWS3,ATTACKLW3,14,00
15;O,ATTACKLWS3,ATTACKLW3,15,00
16;O,ATTACKLWS3,ATTACKLW3,1b,00
17;O,ATTACKLWS3,ATTACKLW3,17,00
18;O,ATTACKLWS3,ATTACKLW3,16,00
19;O,ATTACKLWS3,ATTACKLW3,19,00
20;O,ATTACKLWA,ATTACKLW3,20_00
21;O,ATTACKLWS3,ATTACKLW3,el,_oo
22;O,ATTACKLWA,ATTACKLW3,22_00
23;O,ATTACKLWA,ATTACKLW3,23_00
24;O,ATTACKLWS3,ATTACKLW3,e4,oo
25;O,ATTACKLWA,ATTACKLW3,2s_o0
26;O,ATTACKLWS3,ATTACKLW3,2b_00
27;O,ATTACKLWS3,ATTACKLW3,e7,00
28;O,ATTACKLWA,ATTACKLW3,28_00
29;O,ATTACKLWS3,ATTACKLW3,29,00
30;O,ATTACKLWS3,ATTACKLW3,30,00
31;O,ATTACKLWS3,ATTACKLW3,31,_oo
32;O,ATTACKLWS3,ATTACKLW3,32,00
33;O,ATTACKLWS3,ATTACKLW3,33,00
34;O,ATTACKLWS3,ATTACKLW3,34,_o00
35;O,ATTACKLWS3,ATTACKLW3,35,00
36;O,ATTACKLWS3,ATTACKLW3,3b,_00
37;O,ATTACKLWS3,ATTACKLW3,37,00
38;O,ATTACKLWS3,ATTACKLW3,38,00
