frame;text
1;O,ATTACKAIRF,ATTACKAIRE,oo
2;O,ATTACKAIRF,ATTACKAIRE
3;O,ATTACKAIRF,ATTACKAIRE
4;O,ATTACKAIRF,ATTACKAIRE,_oo
5;O,ATTACKAIRF,ATTACKAIRE
6;O,ATTACKAIRF,ATTACKAIRE,_oo
7;O,ATTACKAIRF,ATTACKAIRE,_oo
8;O,ATTACKAIRF,ATTACKAIRE
9;O,ATTACKAIRF,ATTACKAIRE,_oo
10;O,ATTACKAIRF,ATTACKAIRE,10,00
11;O,ATTACKAIRF,ATTACKAIRE,oo
12;O,ATTACKAIRF,ATTACKAIRE,12,00
13;O,ATTACKAIRF,ATTACKAIRE,13,00
14;O,ATTACKAIRF,ATTACKAIRE,14,00
15;O,ATTACKAIRF,ATTACKAIRE,15,00
16;O,ATTACKAIRF,ATTACKAIRE,1b,00
17;O,ATTACKAIRF,ATTACKAIRE,17,00
18;O,ATTACKAIRF,ATTACKAIRE,16,00
19;O,ATTACKAIRF,ATTACKAIRE,19,00
20;oo"oe,JSULVADVLLV,JMIVADVLIV,O
21;O,ATTACKAIRF,ATTACKAIRE,el,_oo
22;oo"ze,JSULVADVLLV,JMIVADVLIV,O
23;oo"cea,JSULVADVLLV,JMIVADVLIV,O
24;00",2,JMNIVADVLIV,JuIVaDVLIV,oO
25;oo"sa,JSULVADVLLV,JMIVADVLIV,O
26;oo,"92,JMNIVADVLIV,JuIVaDVLIV,oO
27;oo"2ea,JSULVADVLLV,JMIVADVLIV,O
28;oo"B2,JSULVADVLLV,JMIVADVLIV,O
29;00,"be,JSULVADVLLV,JMIVADVLIV,O
30;00,"OE,JSULVADVLLV,JMIVADVLIV,O
31;O,ATTACKAIRF,ATTACKAIRE,_oo
32;00,"2e,JSULVADVLLV,JMIVADVLIV,O
33;00,"cE,JSULVADVLLV,JMIVADVLIV,O
34;00",hE,JMNIVADVLIV,JuIVaDVLIV,oO
35;O,ATTACKAIRF,ATTACKAIRF,35,00
36;O,ATTACKAIRF,ATTACKAIRF,3b,_00
37;O,ATTACKAIRF,ATTACKAIRF,37,00
38;O,ATTACKAIRF,ATTACKAIRF,38,00
