frame;text
1;O,CATCH,CATCH
2;O,CATCH,CATCH,oo
3;O,CATCH,CATCH
4;O,CATCH,CATCH
5;O,CATCH,CATCH,_oo
6;O,CATCH,CATCH
7;O,CATCH,CATCH,_oo
8;O,CATCH,CATCH,_oo
9;O,CATCH,CATCH
10;O,CATCH,CATCH,_oo
11;O,CATCH,CATCH,10,00
12;O,CATCH,CATCH,oo
13;O,CATCH,CATCH,12,00
14;O,CATCH,CATCH,13,00
15;O,CATCH,CATCH,14,00
16;O,CATCH,CATCH,1S_.o00
17;O,CATCH,CATCH,1b,,00
18;O,CATCH,CATCH,17,00
19;O,CATCH,CATCH,18,00
20;O,CATCH,CATCH,19_00
21;O,CATCH,CATCH,20_00
22;O,CATCH,CATCH,el,_oo
23;O,CATCH,CATCH,22_00
24;O,CATCH,CATCH,23_00
25;O,CATCH,CATCH,2400
26;O,CATCH,CATCH,2s_o0
27;O,CATCH,CATCH,2b_00
28;O,CATCH,CATCH,27,00
29;O,CATCH,CATCH,28_00
