frame;text
1;O,3b3,oo
2;O,3b3
3;O,3b3
4;O,3b3,_oo
5;O,3b3
6;O,3b3,_oo
7;O,3b3,_oo
8;O,3b3
9;O,3b3,_oo
10;O,3b3,B17,10,00
11;O,3b3,oo
12;O,3b3,B17,12,00
13;O,3b3,B17,13,00
14;O,3b3,B17,14,00
15;O,3b3,B17,1S_o00
16;O,3b3,B17,1b,,00
17;O,3b3,B17,17,00
18;O,3b3,B17,18,00
19;O,3b3,B17,19,00
20;O,3b3,317,20,00
21;O,3b3,el,_oo
22;O,3b3,317,e2_.oo
23;O,3b3,317,23,00
24;O,3b3,B17,24,00
25;O,3b3,317,25,00
26;O,3b3,B17,2b_00
27;O,3b3,B17,27,00
28;O,3b3,317,28,00
29;O,3b3,B17,29_00
30;O,3b3,317,30,00
31;O,3b3,_oo
32;O,3b3,317,32,00
33;O,3b3,317,33,00
34;O,3b3,B17,34,oo
35;O,3b3,317,35,00
36;O,3b3,B17,3b,,00
37;O,3b3,B17,37,00
38;O,3b3,317,38,00
39;O,3b3,B17,39,00
40;O,3b3,B17,40_00
41;O,3b3,4!,oo
42;O,3b3,B17,42_00
43;O,3b3,B17,43,00
44;O,3b3,B17,4400
