frame;text
1;O,ATTACKAIRHI,ATTACKAIRHI,oo
2;O,ATTACKAIRHI,ATTACKAIRHI
3;O,ATTACKAIRHI,ATTACKAIRHI
4;O,ATTACKAIRHI,ATTACKAIRHI,_oo
5;O,ATTACKAIRHI,ATTACKAIRHI
6;O,ATTACKAIRHI,ATTACKAIRHI,_oo
7;O,ATTACKAIRHI,ATTACKAIRHI,_oo
8;O,ATTACKAIRHI,ATTACKAIRHI
9;O,ATTACKAIRHI,ATTACKAIRHI,_oo
10;oo"o1,IHYIVADVLLIV,IHNIVADVLIV,O
11;oo,IHMYIVADVLLIV,IHMIVaADVvLiv,O
12;oo"?!,IHYIVADVLLIV,IHNIVADVLIV,O
13;oo"e!,IHYIVADVLLIV,IHNIVADVLIV,O
14;oo"!,IHYIVADVLLIV,IHNIVADVLIV,O
15;oo"s!,IHYIVADVLLIV,IHNIVADVLIV,O
16;oo"41,IHYIVADVLLIV,IHNIVADVLIV,O
17;oo".21,IHYIVADVLLIV,IHNIVADVLIV,O
18;oo"s!,IHYIVADVLLIV,IHNIVADVLIV,O
19;oop!,IHYIVADVLLIV,IHNIVADVLIV,O
20;oo"oe,IHYIVADVLLIV,IHNIVADVLIV,O
21;oo,le,IHMYIVADVLLIV,IHMIVaADVvLiv,O
22;oo"ze,IHYIVADVLLIV,IHNIVADVLIV,O
23;oo"cea,IHYIVADVLLIV,IHNIVADVLIV,O
24;00",2,IHYIVADVLLV,IHMIVADVLIv,Oo
25;oo"sa,IHYIVADVLLIV,IHNIVADVLIV,O
26;oo,"92,IHYIVADVLLV,IHMIVADVLIv,Oo
27;oo"2ea,IHYIVADVLLIV,IHNIVADVLIV,O
28;oo"B2,IHYIVADVLLIV,IHNIVADVLIV,O
29;00,"be,IHYIVADVLLIV,IHNIVADVLIV,O
30;00,"OE,IHYIVADVLLIV,IHNIVADVLIV,O
31;oo,IHMYIVADVLLIV,IHMIVaADVvLiv,O
32;00,"2e,IHYIVADVLLIV,IHNIVADVLIV,O
33;00,"cE,IHYIVADVLLIV,IHNIVADVLIV,O
34;00",hE,IHYIVADVLLV,IHMIVADVLIv,Oo
35;00,"se,IHYIVADVLLIV,IHNIVADVLIV,O
36;00,"Se,IHYIVADVLLV,IHMIVADVLIv,Oo
37;oo,"ze,IHYIVADVLLIV,IHNIVADVLIV,O
38;O,ATTACKAIRHI,ATTACKAIRHI,38,00
