frame;text
1;O,3b?,32!,oo
2;O,3b?,32!
3;O,3b?,32!
4;O,3b?,32!,_oo
5;O,3b?,32!
6;O,3b?,32!,_oo
7;O,3b?,32!,_oo
8;O,3b?,32!
9;O,3b?,32!,_oo
10;O,3b7,B21,10,00
11;O,3b?,32!,oo
12;O,3b7,B21,12,00
13;O,3b7,B21,13,00
14;O,3b7,B21,14,00
15;O,3b7,B21,1S_o00
16;O,3b7,B21,1b,,00
17;O,3b7,B21,17,00
18;O,3b7,B21,18,00
19;O,3b7,B21,19,00
20;O,3b?,32!,20,00
21;O,3b?,32!,el,_oo
22;O,3b?,32!,e2_.oo
23;O,3b?,32!,23,00
24;o,7,3b,B21,24,00
25;O,3b?,32!,25,00
26;O,3b7,B21,2b_00
27;o,7,3b,B21,27,00
28;O,3b?,32!,28,00
29;o,7,3b,B21,29_00
30;O,3b?,32!,30,00
31;O,3b?,32!,_oo
32;O,3b?,32!,32,00
33;O,3b?,32!,33,00
34;o,7,3b,B21,34,oo
35;O,3b?,32!,35,00
36;O,3b7,B21,3b,,00
37;o,7,3b,B21,37,00
38;O,3b?,32!,38,00
39;o,7,3b,B21,39,00
40;O,3b7,B21,40_00
41;O,3b?,32!,4!,oo
42;O,3b7,B21,42_00
43;O,3b7,B21,43,00
44;O,3b7,B21,4400
45;O,3b7,B21,4S_00
46;O,3b7,B21,4b_00
47;O,3b7,B21,47,00
48;O,3b7,B21,48_00
49;O,3b7,B21,4900
50;O,3b?,32!,so_.o00
51;O,3b?,32!,si,_oo
52;O,3b?,32!,se_oo
53;O,3b?,32!,$3,000
54;o,7,3b,B21,s4¥_o00
55;O,3b?,32!,ss_oo
56;O,3b7,B21,Sb_oo
57;o,7,3b,B21,s?7_00
58;O,3b?,32!,s6_.o00
59;o,7,3b,B21,s9_o00
60;O,3b7,B21,bo_oo
61;O,3b?,32!,BI,_oo
62;O,3b7,B21,b2_o00
63;O,3b7,B21,b3_00
64;o,7,3b,B21,bY,oo
65;O,3b7,B21,bS_oo
66;O,3b7,B21,bb_,oo
67;o,7,3b,B21,b?_00
68;O,3b7,B21,be_,oo
69;o,7,3b,B21,b9_00
70;O,3b7,B21,70,00
71;O,3b?,32!,a,|,_oo
72;O,3b7,B21,72,00
73;O,3b7,B21,73,00
74;O,3b7,B21,7400
75;O,3b7,B21,75,00
76;O,3b7,B21,76,00
77;O,3b?,321,77_00
78;O,3b7,B21,78,00
79;O,3b?,321,79_00
80;O,3b?,32!,60,00
81;
82;O,3b?,32!,Be,_oo
83;
84;o,7,3b,B21,84,oo
85;O,3b?,32!,=
86;O,3b7,B21,8b_o00
87;o,7,3b,B21,87_o00
88;
89;o,7,3b,B21,8900
90;O,3b7,B21,90_00
91;O,3b7,B21,91,00
92;O,3b7,B21,92_00
93;O,3b7,B21,93,00
94;O,3b7,B21,9400
95;O,3b7,B21,9s_00
96;O,3b7,B21,9b,_00
97;O,3b?,321,97,00
98;O,3b7,B21,98_00
99;O,3b?,321,9900
100;O,3b7,B21,100,00
101;O,3b7,B21,101,00
102;O,3b7,B21,102,00
103;O,3b7,B21,103,00
104;O,3b7,B21,104%,00
105;O,3b7,B21,105,00
106;O,3b7,B21,106,00
107;O,3b7,B21,107,00
108;O,3b7,B21,108,00
109;O,3b7,B21,109,00
110;O,3b7,B21,110,00
111;O,3b?,32!,oo
112;O,3b7,B21,112,00
113;O,3b7,B21,113,00
114;O,3b7,B21,11400
115;O,3b7,B21,115,00
116;O,3b7,B21,11b,oo
117;O,3b7,B21,117,00
118;O,3b7,B21,116,00
119;O,3b7,B21,119,00
120;O,3b7,B21,120,00
121;O,3b?,32!,lel,oo
122;O,3b7,B21,122,00
123;O,3b7,B21,123,00
124;O,3b7,B21,124,00
125;O,3b7,B21,125,00
126;O,3b7,B21,126,00
127;O,3b7,B21,127,00
128;O,3b7,B21,128,00
129;
130;
131;
132;
133;
134;
135;
136;
137;
138;
139;
140;
141;
142;
143;
144;
145;
146;
147;
148;
149;
150;
151;
152;O,3b7,B21,1S2_00
153;O,3b7,B21,153,00
154;O,3b7,B21,1Ss4_o0
155;O,3b7,B21,1SS_o0
156;O,3b7,B21,1Sb_00
157;O,3b7,B21,1S7_00
158;O,3b7,B21,158,00
159;O,3b7,B21,15900
160;O,3b7,B21,1bO_,00
161;O,3b?,32!,IbI,oo
162;O,3b7,B21,Ib2_00
163;O,3b7,B21,163,00
164;O,3b7,B21,IbY,oo
165;O,3b7,B21,1bS_o0
166;O,3b7,B21,Ibb,OO
167;O,3b7,B21,1b7_00
168;O,3b7,B21,1b8_,00
169;O,3b7,B21,1b9_00
170;O,3b7,B21,170,00
171;O,3b?,32!,71,oo
172;O,3b7,B21,172,00
173;O,3b7,B21,173,00
174;O,3b7,B21,174,00
175;O,3b7,B21,175,00
176;O,3b7,B21,17b_00
177;O,3b?,321,177,00
178;O,3b7,B21,178,00
